Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-03 10:33:16.235,0.88,0.79,23.32,0.8761,0.89
2026-03-03 10:33:16.342,0.91,0.79,23.32,0.8756,0.89
2026-03-03 10:33:16.529,0.9,0.79,23.32,0.8752,0.89
2026-03-03 10:33:16.649,0.9,0.79,23.32,0.8745999999999999,0.895
2026-03-03 10:33:16.741,0.88,0.79,23.32,0.8737999999999999,0.89
2026-03-03 10:33:16.947,0.9,0.79,23.32,0.8734999999999999,0.895
2026-03-03 10:33:17.050,0.89,0.79,23.32,0.8733,0.89
2026-03-03 10:33:17.146,0.89,0.79,23.32,0.8732,0.89
2026-03-03 10:33:17.255,0.92,0.79,23.32,0.8734000000000001,0.895
2026-03-03 10:33:17.358,0.88,0.79,23.32,0.8733,0.895
2026-03-03 10:33:17.467,0.9,0.79,23.32,0.8734000000000001,0.9
2026-03-03 10:33:17.573,0.91,0.79,23.32,0.8737,0.9
2026-03-03 10:33:17.670,0.88,0.79,23.32,0.8734000000000001,0.895
2026-03-03 10:33:17.770,0.88,0.79,23.32,0.8734999999999999,0.89
2026-03-03 10:33:17.873,0.9,0.79,23.32,0.8732,0.895
2026-03-03 10:33:17.990,0.89,0.79,23.32,0.8733,0.89
2026-03-03 10:33:18.087,0.9,0.79,23.32,0.8733,0.895
2026-03-03 10:33:18.190,0.9,0.79,23.32,0.8733,0.9
2026-03-03 10:33:18.292,0.91,0.79,23.32,0.8739,0.9
2026-03-03 10:33:18.497,0.93,0.79,23.32,0.8748999999999999,0.9
2026-03-03 10:33:18.602,0.9,0.79,23.32,0.8748999999999999,0.9
2026-03-03 10:33:18.812,0.88,0.79,23.32,0.8742,0.9
2026-03-03 10:33:18.915,0.88,0.79,23.32,0.8741,0.9
2026-03-03 10:33:19.024,0.85,0.79,23.32,0.8744,0.9
2026-03-03 10:33:19.219,0.9,0.79,23.32,0.8748,0.9
2026-03-03 10:33:19.328,0.89,0.79,23.32,0.8756999999999999,0.9
2026-03-03 10:33:19.539,0.91,0.79,23.32,0.8765000000000001,0.9
2026-03-03 10:33:19.629,0.92,0.79,23.32,0.8776,0.9
2026-03-03 10:33:19.731,0.91,0.79,23.32,0.8784000000000001,0.9
2026-03-03 10:33:19.842,0.9,0.79,23.32,0.8789,0.9
2026-03-03 10:33:19.945,0.89,0.79,23.32,0.8795000000000001,0.895
2026-03-03 10:33:20.151,0.89,0.79,23.32,0.8798999999999999,0.895
2026-03-03 10:33:20.256,0.85,0.79,23.32,0.8798999999999999,0.895
2026-03-03 10:33:20.357,0.88,0.79,23.32,0.8801000000000001,0.895
2026-03-03 10:33:20.464,0.85,0.79,23.32,0.88,0.89
2026-03-03 10:33:20.567,0.88,0.79,23.32,0.8803,0.89
2026-03-03 10:33:20.675,0.84,0.79,23.32,0.8805,0.885
2026-03-03 10:33:20.775,0.84,0.79,23.32,0.8806,0.88
2026-03-03 10:33:20.879,0.85,0.79,23.32,0.8806,0.865
2026-03-03 10:33:21.093,0.9,0.79,23.32,0.8813,0.865
2026-03-03 10:33:21.192,0.88,0.79,23.32,0.882,0.865
2026-03-03 10:33:21.299,0.88,0.79,23.32,0.8825,0.865
2026-03-03 10:33:21.393,0.83,0.79,23.32,0.8823000000000001,0.865
2026-03-03 10:33:21.610,0.88,0.79,23.32,0.8826,0.865
2026-03-03 10:33:21.702,0.89,0.79,23.32,0.883,0.88
2026-03-03 10:33:21.816,0.85,0.79,23.32,0.8831,0.865
2026-03-03 10:33:22.018,0.88,0.79,23.32,0.8835,0.88
2026-03-03 10:33:22.116,0.89,0.79,23.32,0.8843000000000001,0.88
2026-03-03 10:33:22.326,0.88,0.79,23.32,0.8847,0.88
2026-03-03 10:33:22.430,0.88,0.79,23.32,0.8847,0.88
2026-03-03 10:33:22.536,0.88,0.79,23.32,0.8848999999999999,0.88
2026-03-03 10:33:22.840,0.88,0.79,23.32,0.885,0.88
2026-03-03 10:33:22.941,0.86,0.79,23.32,0.8852,0.88
2026-03-03 10:33:23.259,0.9,0.79,23.32,0.8856,0.88
2026-03-03 10:33:23.362,0.88,0.79,23.32,0.8859999999999999,0.88
2026-03-03 10:33:23.461,0.88,0.79,23.32,0.8865999999999999,0.88
2026-03-03 10:33:23.562,0.89,0.79,23.32,0.8870999999999999,0.88
2026-03-03 10:33:23.672,0.9,0.79,23.32,0.8878,0.88
2026-03-03 10:33:23.779,0.88,0.79,23.32,0.8884000000000001,0.88
2026-03-03 10:33:23.885,0.9,0.79,23.32,0.8886,0.88
2026-03-03 10:33:24.084,0.86,0.79,23.32,0.8879,0.88
2026-03-03 10:33:24.187,0.83,0.79,23.32,0.8870999999999999,0.88
2026-03-03 10:33:24.396,0.88,0.79,23.32,0.8865000000000001,0.88
2026-03-03 10:33:24.500,0.89,0.79,23.32,0.8857,0.88
2026-03-03 10:33:24.712,0.83,0.79,23.32,0.8842,0.88
2026-03-03 10:33:24.807,0.82,0.79,23.32,0.8837,0.88
2026-03-03 10:33:24.915,0.88,0.79,23.32,0.8835,0.88
2026-03-03 10:33:25.115,0.86,0.79,23.32,0.8831,0.87
2026-03-03 10:33:25.226,0.89,0.79,23.32,0.8834000000000001,0.87
2026-03-03 10:33:25.326,0.88,0.79,23.32,0.8834000000000001,0.87
2026-03-03 10:33:25.526,0.9,0.79,23.32,0.8835999999999999,0.88
2026-03-03 10:33:25.740,0.87,0.79,23.32,0.8833,0.88
2026-03-03 10:33:25.946,0.81,0.79,23.32,0.8826,0.875
2026-03-03 10:33:26.053,0.87,0.79,23.32,0.8828,0.87
2026-03-03 10:33:26.150,0.85,0.79,23.32,0.8824,0.87
2026-03-03 10:33:26.249,0.85,0.79,23.32,0.8819,0.87
2026-03-03 10:33:26.359,0.86,0.79,23.32,0.8815000000000001,0.865
2026-03-03 10:33:26.461,0.88,0.79,23.32,0.8813,0.87
2026-03-03 10:33:26.562,0.84,0.79,23.32,0.8812000000000001,0.865
2026-03-03 10:33:26.663,0.87,0.79,23.32,0.8809999999999999,0.865
2026-03-03 10:33:26.785,0.91,0.79,23.32,0.8812000000000001,0.865
2026-03-03 10:33:26.874,0.84,0.79,23.32,0.8806,0.855
2026-03-03 10:33:26.974,0.93,0.79,23.32,0.8814,0.865
2026-03-03 10:33:27.082,0.89,0.79,23.32,0.8815000000000001,0.865
2026-03-03 10:33:27.198,0.89,0.79,23.32,0.8815999999999999,0.875
2026-03-03 10:33:27.285,0.9,0.79,23.32,0.8815999999999999,0.885
2026-03-03 10:33:27.397,0.9,0.79,23.32,0.8818,0.89
2026-03-03 10:33:27.497,0.9,0.79,23.32,0.8818,0.895
