Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-03 10:25:39.555,20.02,19.92,23.32,20.0246,20.03
2026-03-03 10:25:39.759,19.93,19.92,23.32,20.0239,20.025
2026-03-03 10:25:39.864,20.01,19.92,23.32,20.0239,20.02
2026-03-03 10:25:40.068,19.98,19.92,23.32,20.0235,20.015
2026-03-03 10:25:40.177,20.0,19.92,23.32,20.023699999999998,20.015
2026-03-03 10:25:40.278,19.98,19.92,23.32,20.024,20.005000000000003
2026-03-03 10:25:40.392,20.02,19.92,23.32,20.0242,20.015
2026-03-03 10:25:40.487,20.04,19.92,23.32,20.0247,20.015
2026-03-03 10:25:40.794,20.01,19.92,23.32,20.0247,20.01
2026-03-03 10:25:40.899,20.0,19.92,23.32,20.0248,20.005000000000003
2026-03-03 10:25:41.001,20.01,19.92,23.32,20.0245,20.005000000000003
2026-03-03 10:25:41.113,20.01,19.92,23.32,20.0246,20.01
2026-03-03 10:25:41.413,19.99,19.92,23.32,20.0241,20.005000000000003
2026-03-03 10:25:41.627,20.0,19.92,23.32,20.0236,20.005000000000003
2026-03-03 10:25:41.721,20.05,19.92,23.32,20.0236,20.01
2026-03-03 10:25:41.930,20.01,19.92,23.32,20.0233,20.01
2026-03-03 10:25:42.140,19.99,19.92,23.32,20.0233,20.01
2026-03-03 10:25:42.242,19.97,19.92,23.32,20.023,20.005000000000003
2026-03-03 10:25:42.444,20.03,19.92,23.32,20.0233,20.005000000000003
2026-03-03 10:25:42.554,19.98,19.92,23.32,20.0229,20.005000000000003
2026-03-03 10:25:42.751,20.05,19.92,23.32,20.0232,20.005000000000003
2026-03-03 10:25:42.867,19.99,19.92,23.32,20.0224,19.994999999999997
2026-03-03 10:25:42.960,20.02,19.92,23.32,20.0226,20.005000000000003
2026-03-03 10:25:43.075,19.98,19.92,23.32,20.0222,20.0
2026-03-03 10:25:43.276,20.02,19.92,23.32,20.0224,20.0
2026-03-03 10:25:43.395,19.99,19.92,23.32,20.0224,19.99
2026-03-03 10:25:43.482,20.03,19.92,23.32,20.0226,20.005
2026-03-03 10:25:43.600,20.03,19.92,23.32,20.0226,20.02
2026-03-03 10:25:43.695,20.01,19.92,23.32,20.0226,20.015
2026-03-03 10:25:43.796,19.97,19.92,23.32,20.0222,20.015
2026-03-03 10:25:43.898,20.06,19.92,23.32,20.0227,20.015
2026-03-03 10:25:44.000,20.02,19.92,23.32,20.0228,20.02
2026-03-03 10:25:44.112,19.99,19.92,23.32,20.0224,20.015
2026-03-03 10:25:44.215,20.01,19.92,23.32,20.0223,20.015
2026-03-03 10:25:44.323,19.99,19.92,23.32,20.0218,20.01
2026-03-03 10:25:44.416,19.95,19.92,23.32,20.020599999999998,20.01
2026-03-03 10:25:44.620,19.98,19.92,23.32,20.0203,20.0
2026-03-03 10:25:44.824,20.05,19.92,23.32,20.020799999999998,20.0
2026-03-03 10:25:45.038,19.96,19.92,23.32,20.020699999999998,19.99
2026-03-03 10:25:45.238,19.98,19.92,23.32,20.0203,19.99
2026-03-03 10:25:45.447,20.03,19.92,23.32,20.0202,19.99
2026-03-03 10:25:45.551,19.98,19.92,23.32,20.0196,19.985
2026-03-03 10:25:45.756,20.01,19.92,23.32,20.0197,19.985
2026-03-03 10:25:45.861,20.03,19.92,23.32,20.0201,19.985
2026-03-03 10:25:45.972,20.0,19.92,23.32,20.0201,19.990000000000002
2026-03-03 10:25:46.068,20.03,19.92,23.32,20.0202,20.005000000000003
2026-03-03 10:25:46.169,20.02,19.92,23.32,20.02,20.015
2026-03-03 10:25:46.482,19.98,19.92,23.32,20.0193,20.005000000000003
2026-03-03 10:25:46.588,20.05,19.92,23.32,20.0194,20.015
2026-03-03 10:25:46.890,20.0,19.92,23.32,20.0186,20.015
2026-03-03 10:25:47.004,20.03,19.92,23.32,20.0185,20.015
2026-03-03 10:25:47.097,19.99,19.92,23.32,20.0174,20.015
2026-03-03 10:25:47.205,20.05,19.92,23.32,20.017,20.025
2026-03-03 10:25:47.307,20.02,19.92,23.32,20.016199999999998,20.02
2026-03-03 10:25:47.453,20.06,19.92,23.32,20.0164,20.025
2026-03-03 10:25:47.523,20.05,19.92,23.32,20.0165,20.025
2026-03-03 10:25:47.614,19.99,19.92,23.32,20.016,20.025
2026-03-03 10:25:47.730,19.99,19.92,23.32,20.0154,20.025
2026-03-03 10:25:47.828,20.01,19.92,23.32,20.0149,20.015
2026-03-03 10:25:48.032,20.01,19.92,23.32,20.0145,20.015
2026-03-03 10:25:48.240,20.04,19.92,23.32,20.014300000000002,20.015
2026-03-03 10:25:48.348,20.02,19.92,23.32,20.014300000000002,20.02
2026-03-03 10:25:48.448,20.02,19.92,23.32,20.0137,20.02
2026-03-03 10:25:48.552,19.97,19.92,23.32,20.0127,20.015
2026-03-03 10:25:48.650,20.05,19.92,23.32,20.0124,20.015
2026-03-03 10:25:48.763,20.02,19.92,23.32,20.0126,20.015
2026-03-03 10:25:48.863,20.0,19.92,23.32,20.0126,20.015
2026-03-03 10:25:48.968,20.05,19.92,23.32,20.0133,20.02
2026-03-03 10:25:49.068,20.02,19.92,23.32,20.0128,20.02
2026-03-03 10:25:49.178,19.99,19.92,23.32,20.012999999999998,20.02
2026-03-03 10:25:49.279,19.99,19.92,23.32,20.012999999999998,20.02
2026-03-03 10:25:49.382,19.99,19.92,23.32,20.0127,20.009999999999998
2026-03-03 10:25:49.485,19.98,19.92,23.32,20.0125,19.994999999999997
2026-03-03 10:25:49.582,20.01,19.92,23.32,20.0123,20.005000000000003
2026-03-03 10:25:49.690,20.05,19.92,23.32,20.0124,20.005000000000003
2026-03-03 10:25:49.903,20.02,19.92,23.32,20.0128,20.005000000000003
2026-03-03 10:25:50.005,20.04,19.92,23.32,20.0133,20.015
2026-03-03 10:25:50.210,19.97,19.92,23.32,20.0128,20.0
2026-03-03 10:25:50.519,20.0,19.92,23.32,20.0129,19.994999999999997
2026-03-03 10:25:50.724,19.99,19.92,23.32,20.0124,19.994999999999997
2026-03-03 10:25:51.026,20.05,19.92,23.32,20.0126,20.005000000000003
2026-03-03 10:25:51.233,19.99,19.92,23.32,20.0122,20.005000000000003
2026-03-03 10:25:51.340,20.02,19.92,23.32,20.0121,20.015
2026-03-03 10:25:51.443,20.04,19.92,23.32,20.0124,20.02
2026-03-03 10:25:51.652,20.05,19.92,23.32,20.0127,20.02
2026-03-03 10:25:51.758,20.04,19.92,23.32,20.0127,20.03
2026-03-03 10:25:51.959,20.01,19.92,23.32,20.0124,20.015
2026-03-03 10:25:52.061,20.05,19.92,23.32,20.0126,20.03
2026-03-03 10:25:52.272,20.01,19.92,23.32,20.0122,20.03
2026-03-03 10:25:52.477,20.1,19.92,23.32,20.0128,20.04
2026-03-03 10:25:52.586,20.05,19.92,23.32,20.013099999999998,20.04
2026-03-03 10:25:52.686,20.05,19.92,23.32,20.0133,20.045
2026-03-03 10:25:52.783,20.07,19.92,23.32,20.0135,20.05
2026-03-03 10:25:52.900,20.01,19.92,23.32,20.0133,20.05
2026-03-03 10:25:52.992,20.03,19.92,23.32,20.0135,20.045
2026-03-03 10:25:53.101,19.99,19.92,23.32,20.012999999999998,20.04
2026-03-03 10:25:53.201,20.03,19.92,23.32,20.0135,20.04
2026-03-03 10:25:53.311,20.03,19.92,23.32,20.0135,20.03
2026-03-03 10:25:53.517,19.99,19.92,23.32,20.0129,20.03
2026-03-03 10:25:53.622,20.03,19.92,23.32,20.012999999999998,20.03
2026-03-03 10:25:53.821,20.01,19.92,23.32,20.0129,20.03
2026-03-03 10:25:53.931,20.03,19.92,23.32,20.0139,20.03
2026-03-03 10:25:54.034,20.02,19.92,23.32,20.014,20.025
2026-03-03 10:25:54.135,20.07,19.92,23.32,20.0149,20.03
2026-03-03 10:25:54.345,20.03,19.92,23.32,20.0152,20.03
2026-03-03 10:25:54.548,20.03,19.92,23.32,20.0157,20.03
2026-03-03 10:25:54.652,20.02,19.92,23.32,20.0157,20.03
2026-03-03 10:25:54.955,20.03,19.92,23.32,20.0156,20.03
2026-03-03 10:25:55.069,20.01,19.92,23.32,20.0156,20.03
2026-03-03 10:25:55.168,19.99,19.92,23.32,20.0155,20.025
2026-03-03 10:25:55.267,20.02,19.92,23.32,20.0156,20.025
2026-03-03 10:25:55.388,20.05,19.92,23.32,20.016,20.025
2026-03-03 10:25:55.483,20.06,19.92,23.32,20.0167,20.03
2026-03-03 10:25:55.575,20.03,19.92,23.32,20.017,20.03
2026-03-03 10:25:55.785,20.03,19.92,23.32,20.0168,20.03
2026-03-03 10:25:55.893,20.03,19.92,23.32,20.017,20.03
