Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-02 11:45:47.205,0.94,0.84,1.29,0.9401999999999999,0.945
2026-03-02 11:45:47.310,0.9,0.84,1.29,0.9392999999999999,0.945
2026-03-02 11:45:47.416,0.9,0.84,1.29,0.9387000000000001,0.945
2026-03-02 11:45:47.522,0.93,0.84,1.29,0.9387000000000001,0.945
2026-03-02 11:45:47.618,0.93,0.84,1.29,0.9388,0.935
2026-03-02 11:45:47.719,0.98,0.84,1.29,0.9389,0.935
2026-03-02 11:45:47.822,0.98,0.84,1.29,0.9398000000000001,0.935
2026-03-02 11:45:48.031,0.86,0.84,1.29,0.9389,0.935
2026-03-02 11:45:48.142,0.73,0.73,1.29,0.9367,0.93
2026-03-02 11:45:48.251,1.01,0.73,1.29,0.9375,0.93
2026-03-02 11:45:48.345,0.96,0.73,1.29,0.9377,0.93
2026-03-02 11:45:48.448,0.98,0.73,1.29,0.9384,0.9450000000000001
2026-03-02 11:45:48.551,0.9,0.73,1.29,0.9384999999999999,0.9450000000000001
2026-03-02 11:45:48.660,0.98,0.73,1.29,0.9388,0.97
2026-03-02 11:45:48.763,0.91,0.73,1.29,0.9387000000000001,0.97
2026-03-02 11:45:48.871,0.97,0.73,1.29,0.9388,0.965
2026-03-02 11:45:48.977,0.91,0.73,1.29,0.9388,0.935
2026-03-02 11:45:49.068,0.88,0.73,1.29,0.9384999999999999,0.935
2026-03-02 11:45:49.272,0.94,0.73,1.29,0.9389,0.95
2026-03-02 11:45:49.376,0.88,0.73,1.29,0.9384,0.925
2026-03-02 11:45:49.485,0.97,0.73,1.29,0.9386,0.925
2026-03-02 11:45:49.584,0.99,0.73,1.29,0.9392,0.925
2026-03-02 11:45:49.698,0.76,0.73,1.29,0.9381,0.925
2026-03-02 11:45:49.795,1.0,0.73,1.29,0.9387000000000001,0.925
2026-03-02 11:45:49.904,0.9,0.73,1.29,0.9388,0.925
2026-03-02 11:45:49.999,0.97,0.73,1.29,0.9389,0.925
2026-03-02 11:45:50.110,0.86,0.73,1.29,0.9384,0.9199999999999999
2026-03-02 11:45:50.207,0.88,0.73,1.29,0.9379,0.9199999999999999
2026-03-02 11:45:50.324,0.84,0.73,1.29,0.937,0.89
2026-03-02 11:45:50.412,0.79,0.73,1.29,0.9355,0.89
2026-03-02 11:45:50.524,0.83,0.73,1.29,0.934,0.87
2026-03-02 11:45:50.626,0.76,0.73,1.29,0.932,0.85
2026-03-02 11:45:50.730,0.83,0.73,1.29,0.9309000000000001,0.85
2026-03-02 11:45:50.847,0.95,0.73,1.29,0.9307,0.85
2026-03-02 11:45:50.937,0.93,0.73,1.29,0.9301999999999999,0.85
2026-03-02 11:45:51.041,0.95,0.73,1.29,0.9299,0.85
2026-03-02 11:45:51.145,0.81,0.73,1.29,0.9281999999999999,0.835
2026-03-02 11:45:51.254,0.97,0.73,1.29,0.9283,0.835
2026-03-02 11:45:51.353,0.92,0.73,1.29,0.9285,0.875
2026-03-02 11:45:51.463,0.92,0.73,1.29,0.9281999999999999,0.92
2026-03-02 11:45:51.557,0.97,0.73,1.29,0.9285,0.925
2026-03-02 11:45:51.668,0.94,0.73,1.29,0.9286,0.935
2026-03-02 11:45:51.771,0.96,0.73,1.29,0.9287000000000001,0.945
2026-03-02 11:45:51.874,0.89,0.73,1.29,0.9279999999999999,0.935
2026-03-02 11:45:52.083,0.91,0.73,1.29,0.9276000000000001,0.9299999999999999
2026-03-02 11:45:52.186,0.92,0.73,1.29,0.9270999999999999,0.92
2026-03-02 11:45:52.299,0.93,0.73,1.29,0.9274,0.925
2026-03-02 11:45:52.389,0.95,0.73,1.29,0.9278,0.925
2026-03-02 11:45:52.488,0.93,0.73,1.29,0.9275,0.93
2026-03-02 11:45:52.596,0.93,0.73,1.29,0.9279999999999999,0.93
2026-03-02 11:45:52.698,0.89,0.73,1.29,0.9279999999999999,0.93
2026-03-02 11:45:52.808,0.94,0.73,1.29,0.9279999999999999,0.93
2026-03-02 11:45:52.911,0.92,0.73,1.29,0.9275,0.925
2026-03-02 11:45:53.016,0.91,0.73,1.29,0.9273,0.925
2026-03-02 11:45:53.120,0.94,0.73,1.29,0.9270999999999999,0.93
2026-03-02 11:45:53.225,0.94,0.73,1.29,0.9275,0.93
2026-03-02 11:45:53.324,0.96,0.73,1.29,0.9273,0.935
2026-03-02 11:45:53.426,0.98,0.73,1.29,0.9276000000000001,0.935
2026-03-02 11:45:53.540,0.92,0.73,1.29,0.9272,0.935
2026-03-02 11:45:53.643,0.85,0.73,1.29,0.9259000000000001,0.9299999999999999
2026-03-02 11:45:53.946,1.55,0.73,1.55,0.9320999999999999,0.94
2026-03-02 11:45:54.045,0.78,0.73,1.55,0.9303,0.9299999999999999
2026-03-02 11:45:54.156,1.08,0.73,1.55,0.9317,0.94
2026-03-02 11:45:54.255,1.11,0.73,1.55,0.9334,0.95
2026-03-02 11:45:54.359,1.1,0.73,1.55,0.9351999999999999,0.97
2026-03-02 11:45:54.463,1.01,0.73,1.55,0.9355,0.995
2026-03-02 11:45:54.571,0.98,0.73,1.55,0.9355,0.995
2026-03-02 11:45:54.675,1.15,0.73,1.55,0.9373999999999999,1.045
2026-03-02 11:45:54.778,1.07,0.73,1.55,0.9389,1.0750000000000002
2026-03-02 11:45:54.876,1.08,0.73,1.55,0.9405,1.08
