Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-02 11:49:24.092,3.05,0.61,3.62,3.0431,3.04
2026-03-02 11:49:24.193,3.02,0.61,3.62,3.0429000000000004,3.04
2026-03-02 11:49:24.298,3.02,0.61,3.62,3.0427,3.035
2026-03-02 11:49:24.501,3.01,0.61,3.62,3.0420999999999996,3.035
2026-03-02 11:49:24.610,3.03,0.61,3.62,3.042,3.03
2026-03-02 11:49:24.716,3.07,0.61,3.62,3.0419,3.035
2026-03-02 11:49:24.821,3.02,0.61,3.62,3.0414999999999996,3.035
2026-03-02 11:49:24.918,3.04,0.61,3.62,3.0417,3.035
2026-03-02 11:49:25.025,3.02,0.61,3.62,3.0414,3.025
2026-03-02 11:49:25.128,3.04,0.61,3.62,3.0408999999999997,3.025
2026-03-02 11:49:25.240,3.06,0.61,3.62,3.0406999999999997,3.025
2026-03-02 11:49:25.333,3.03,0.61,3.62,3.0405,3.03
2026-03-02 11:49:25.452,3.03,0.61,3.62,3.04,3.03
2026-03-02 11:49:25.542,3.05,0.61,3.62,3.04,3.035
2026-03-02 11:49:25.653,3.01,0.61,3.62,3.0390999999999995,3.035
2026-03-02 11:49:25.750,3.04,0.61,3.62,3.0386,3.035
2026-03-02 11:49:25.861,3.06,0.61,3.62,3.0386,3.04
2026-03-02 11:49:25.960,3.07,0.61,3.62,3.0392,3.04
2026-03-02 11:49:26.271,3.02,0.61,3.62,3.0387,3.04
2026-03-02 11:49:26.382,3.06,0.61,3.62,3.0390999999999995,3.045
2026-03-02 11:49:26.471,3.05,0.61,3.62,3.0395999999999996,3.045
2026-03-02 11:49:26.583,3.02,0.61,3.62,3.0390999999999995,3.045
2026-03-02 11:49:26.684,3.03,0.61,3.62,3.0394,3.045
2026-03-02 11:49:26.779,3.05,0.61,3.62,3.0398,3.045
2026-03-02 11:49:26.895,3.02,0.61,3.62,3.0395999999999996,3.045
2026-03-02 11:49:26.990,3.03,0.61,3.62,3.0390999999999995,3.04
2026-03-02 11:49:27.197,3.05,0.61,3.62,3.0389999999999997,3.04
2026-03-02 11:49:27.310,3.05,0.61,3.62,3.0390999999999995,3.04
2026-03-02 11:49:27.404,3.05,0.61,3.62,3.0390999999999995,3.05
2026-03-02 11:49:27.519,3.06,0.61,3.62,3.0394,3.05
2026-03-02 11:49:27.620,3.04,0.61,3.62,3.0393,3.045
2026-03-02 11:49:27.722,3.04,0.61,3.62,3.0393,3.045
2026-03-02 11:49:27.828,3.03,0.61,3.62,3.0392,3.045
2026-03-02 11:49:27.929,3.02,0.61,3.62,3.0389,3.04
2026-03-02 11:49:28.032,3.03,0.61,3.62,3.0389999999999997,3.04
2026-03-02 11:49:28.130,3.06,0.61,3.62,3.0394,3.045
2026-03-02 11:49:28.243,3.05,0.61,3.62,3.0397,3.045
2026-03-02 11:49:28.348,3.06,0.61,3.62,3.0402,3.045
2026-03-02 11:49:28.439,3.05,0.61,3.62,3.0404,3.045
2026-03-02 11:49:28.558,3.04,0.61,3.62,3.0403,3.04
2026-03-02 11:49:28.658,3.02,0.61,3.62,3.0403,3.04
2026-03-02 11:49:28.755,3.04,0.61,3.62,3.0403,3.04
2026-03-02 11:49:28.870,3.05,0.61,3.62,3.0403,3.045
2026-03-02 11:49:28.965,3.02,0.61,3.62,3.0403,3.045
2026-03-02 11:49:29.170,3.02,0.61,3.62,3.0399000000000003,3.045
2026-03-02 11:49:29.391,3.03,0.61,3.62,3.0402,3.04
2026-03-02 11:49:29.585,3.03,0.61,3.62,3.0401,3.035
2026-03-02 11:49:29.894,3.03,0.61,3.62,3.0399000000000003,3.03
2026-03-02 11:49:29.999,3.05,0.61,3.62,3.0401,3.03
2026-03-02 11:49:30.099,3.05,0.61,3.62,3.0404,3.03
2026-03-02 11:49:30.203,3.05,0.61,3.62,3.0405,3.035
2026-03-02 11:49:30.321,3.02,0.61,3.62,3.0404,3.03
2026-03-02 11:49:30.408,3.02,0.61,3.62,3.0399000000000003,3.03
2026-03-02 11:49:30.521,3.04,0.61,3.62,3.0395999999999996,3.03
2026-03-02 11:49:30.620,3.03,0.61,3.62,3.0392,3.03
2026-03-02 11:49:30.818,3.04,0.61,3.62,3.0389999999999997,3.035
2026-03-02 11:49:31.031,3.05,0.61,3.62,3.0392,3.04
2026-03-02 11:49:31.134,3.03,0.61,3.62,3.0390999999999995,3.04
2026-03-02 11:49:31.234,3.03,0.61,3.62,3.0388,3.035
2026-03-02 11:49:31.343,3.07,0.61,3.62,3.0388,3.035
2026-03-02 11:49:31.449,3.05,0.61,3.62,3.0384999999999995,3.035
2026-03-02 11:49:31.544,3.05,0.61,3.62,3.0383999999999998,3.04
2026-03-02 11:49:31.758,3.07,0.61,3.62,3.0389,3.045
2026-03-02 11:49:31.863,3.02,0.61,3.62,3.0389999999999997,3.045
2026-03-02 11:49:31.969,3.04,0.61,3.62,3.0389999999999997,3.045
2026-03-02 11:49:32.061,3.05,0.61,3.62,3.0389,3.05
2026-03-02 11:49:32.172,3.03,0.61,3.62,3.0389999999999997,3.045
2026-03-02 11:49:32.281,3.06,0.61,3.62,3.0389999999999997,3.05
2026-03-02 11:49:32.380,3.02,0.61,3.62,3.0390999999999995,3.05
