Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-02 11:52:46.129,3.04,0.61,3.62,3.0409999999999995,3.05
2026-03-02 11:52:46.221,3.05,0.61,3.62,3.0406999999999997,3.05
2026-03-02 11:52:46.332,3.06,0.61,3.62,3.0411,3.05
2026-03-02 11:52:46.421,3.04,0.61,3.62,3.0411,3.05
2026-03-02 11:52:46.533,3.02,0.61,3.62,3.0408999999999997,3.05
2026-03-02 11:52:46.628,3.04,0.61,3.62,3.0406999999999997,3.05
2026-03-02 11:52:46.743,3.02,0.61,3.62,3.0403,3.045
2026-03-02 11:52:46.839,3.04,0.61,3.62,3.04,3.04
2026-03-02 11:52:46.947,3.02,0.61,3.62,3.0394,3.04
2026-03-02 11:52:47.060,3.03,0.61,3.62,3.0392,3.04
2026-03-02 11:52:47.147,3.02,0.61,3.62,3.0389999999999997,3.035
2026-03-02 11:52:47.260,3.03,0.61,3.62,3.0387,3.03
2026-03-02 11:52:47.360,3.03,0.61,3.62,3.0388,3.03
2026-03-02 11:52:47.469,3.02,0.61,3.62,3.0384999999999995,3.025
2026-03-02 11:52:47.569,3.03,0.61,3.62,3.0386,3.03
2026-03-02 11:52:47.670,3.05,0.61,3.62,3.0388,3.03
2026-03-02 11:52:47.876,3.06,0.61,3.62,3.0390999999999995,3.03
2026-03-02 11:52:48.079,3.01,0.61,3.62,3.0388,3.03
2026-03-02 11:52:48.192,3.01,0.61,3.62,3.0383999999999998,3.03
2026-03-02 11:52:48.291,3.04,0.61,3.62,3.0382,3.03
2026-03-02 11:52:48.393,3.04,0.61,3.62,3.0382,3.03
2026-03-02 11:52:48.498,3.03,0.61,3.62,3.0380000000000003,3.03
2026-03-02 11:52:48.607,3.02,0.61,3.62,3.0376999999999996,3.03
2026-03-02 11:52:48.698,3.02,0.61,3.62,3.0379,3.03
2026-03-02 11:52:48.814,3.03,0.61,3.62,3.0380000000000003,3.03
2026-03-02 11:52:48.916,3.02,0.61,3.62,3.0376999999999996,3.025
2026-03-02 11:52:49.033,3.04,0.61,3.62,3.0378,3.025
2026-03-02 11:52:49.220,3.04,0.61,3.62,3.0378,3.03
2026-03-02 11:52:49.326,3.06,0.61,3.62,3.0382,3.035
2026-03-02 11:52:49.431,3.04,0.61,3.62,3.0383,3.035
2026-03-02 11:52:49.534,3.06,0.61,3.62,3.0383999999999998,3.035
2026-03-02 11:52:49.634,3.03,0.61,3.62,3.0384999999999995,3.035
2026-03-02 11:52:49.752,3.03,0.61,3.62,3.0384999999999995,3.035
2026-03-02 11:52:49.850,3.01,0.61,3.62,3.0383999999999998,3.035
2026-03-02 11:52:49.954,3.0,0.61,3.62,3.0379,3.035
2026-03-02 11:52:50.056,3.06,0.61,3.62,3.0382,3.04
2026-03-02 11:52:50.151,3.05,0.61,3.62,3.0383,3.04
2026-03-02 11:52:50.362,3.02,0.61,3.62,3.0379,3.035
2026-03-02 11:52:50.474,3.05,0.61,3.62,3.0382,3.035
2026-03-02 11:52:50.573,3.06,0.61,3.62,3.0383,3.04
2026-03-02 11:52:50.676,3.04,0.61,3.62,3.0383999999999998,3.035
2026-03-02 11:52:50.776,3.02,0.61,3.62,3.0380000000000003,3.035
2026-03-02 11:52:50.888,3.04,0.61,3.62,3.0381,3.04
2026-03-02 11:52:51.000,3.05,0.61,3.62,3.0380000000000003,3.045
2026-03-02 11:52:51.091,3.02,0.61,3.62,3.0381,3.045
2026-03-02 11:52:51.195,3.03,0.61,3.62,3.0382,3.04
2026-03-02 11:52:51.297,3.03,0.61,3.62,3.0378,3.035
2026-03-02 11:52:51.410,3.05,0.61,3.62,3.0381,3.04
2026-03-02 11:52:51.507,3.02,0.61,3.62,3.0378,3.035
2026-03-02 11:52:51.618,3.03,0.61,3.62,3.0379,3.03
2026-03-02 11:52:51.719,3.04,0.61,3.62,3.0376,3.03
2026-03-02 11:52:51.813,3.04,0.61,3.62,3.0378,3.035
2026-03-02 11:52:51.927,3.04,0.61,3.62,3.0376,3.035
2026-03-02 11:52:52.026,3.03,0.61,3.62,3.0378,3.03
2026-03-02 11:52:52.125,3.04,0.61,3.62,3.0378,3.035
2026-03-02 11:52:52.239,3.03,0.61,3.62,3.0380000000000003,3.035
2026-03-02 11:52:52.335,3.03,0.61,3.62,3.0381,3.035
2026-03-02 11:52:52.442,3.04,0.61,3.62,3.0383,3.035
2026-03-02 11:52:52.544,3.02,0.61,3.62,3.0381,3.035
2026-03-02 11:52:52.642,3.01,0.61,3.62,3.0378,3.035
2026-03-02 11:52:52.755,3.03,0.61,3.62,3.0376999999999996,3.03
2026-03-02 11:52:52.859,3.05,0.61,3.62,3.0381,3.03
2026-03-02 11:52:53.063,3.05,0.61,3.62,3.0382,3.03
2026-03-02 11:52:53.164,3.05,0.61,3.62,3.0383,3.035
2026-03-02 11:52:53.271,3.03,0.61,3.62,3.0376,3.03
2026-03-02 11:52:53.376,3.02,0.61,3.62,3.0372,3.03
2026-03-02 11:52:53.476,3.03,0.61,3.62,3.0368,3.03
2026-03-02 11:52:53.585,3.05,0.61,3.62,3.037,3.03
2026-03-02 11:52:53.688,3.05,0.61,3.62,3.0369,3.04
2026-03-02 11:52:53.794,3.04,0.61,3.62,3.0369,3.045
2026-03-02 11:52:53.894,3.02,0.61,3.62,3.0369,3.045
2026-03-02 11:52:53.997,3.03,0.61,3.62,3.0369,3.035
2026-03-02 11:52:54.097,3.05,0.61,3.62,3.0372,3.035
2026-03-02 11:52:54.199,3.02,0.61,3.62,3.0372,3.03
2026-03-02 11:52:54.310,3.06,0.61,3.62,3.0374,3.035
2026-03-02 11:52:54.421,3.02,0.61,3.62,3.0372,3.035
2026-03-02 11:52:54.522,3.05,0.61,3.62,3.0372,3.045
2026-03-02 11:52:54.620,3.02,0.61,3.62,3.0370999999999997,3.035
2026-03-02 11:52:54.718,3.04,0.61,3.62,3.0372,3.035
2026-03-02 11:52:54.828,3.05,0.61,3.62,3.0374,3.035
2026-03-02 11:52:54.936,3.02,0.61,3.62,3.037,3.035
2026-03-02 11:52:55.035,3.03,0.61,3.62,3.0367,3.035
2026-03-02 11:52:55.141,3.05,0.61,3.62,3.0369,3.035
2026-03-02 11:52:55.247,3.03,0.61,3.62,3.0364999999999998,3.035
2026-03-02 11:52:55.350,3.01,0.61,3.62,3.0361000000000002,3.03
2026-03-02 11:52:55.461,3.05,0.61,3.62,3.0359999999999996,3.035
2026-03-02 11:52:55.549,3.03,0.61,3.62,3.0359999999999996,3.03
2026-03-02 11:52:55.760,3.01,0.61,3.62,3.0359,3.03
2026-03-02 11:52:55.961,3.02,0.61,3.62,3.0353999999999997,3.03
2026-03-02 11:52:56.072,3.04,0.61,3.62,3.0353,3.03
2026-03-02 11:52:56.175,3.03,0.61,3.62,3.0353,3.03
2026-03-02 11:52:56.583,3.03,0.61,3.62,3.0351999999999997,3.03
2026-03-02 11:52:56.689,3.01,0.61,3.62,3.0349,3.03
2026-03-02 11:52:56.797,3.03,0.61,3.62,3.0346999999999995,3.03
2026-03-02 11:52:56.991,3.03,0.61,3.62,3.0346999999999995,3.03
2026-03-02 11:52:57.102,3.03,0.61,3.62,3.0343999999999998,3.03
2026-03-02 11:52:57.201,3.04,0.61,3.62,3.0343,3.03
2026-03-02 11:52:57.304,3.02,0.61,3.62,3.034,3.03
2026-03-02 11:52:57.427,3.04,0.61,3.62,3.0339,3.03
2026-03-02 11:52:57.523,3.02,0.61,3.62,3.0334999999999996,3.03
2026-03-02 11:52:57.624,3.03,0.61,3.62,3.0334,3.03
2026-03-02 11:52:57.722,3.01,0.61,3.62,3.033,3.03
2026-03-02 11:52:57.827,3.02,0.61,3.62,3.0326,3.03
2026-03-02 11:52:58.154,3.02,0.61,3.62,3.0324,3.025
2026-03-02 11:52:58.242,3.03,0.61,3.62,3.0325,3.025
2026-03-02 11:52:58.351,3.02,0.61,3.62,3.0323,3.02
2026-03-02 11:52:58.550,3.03,0.61,3.62,3.0324,3.02
2026-03-02 11:52:58.653,3.06,0.61,3.62,3.0326,3.025
2026-03-02 11:52:58.762,3.05,0.61,3.62,3.0328999999999997,3.025
2026-03-02 11:52:58.864,3.02,0.61,3.62,3.0328,3.025
2026-03-02 11:52:58.966,3.02,0.61,3.62,3.0328,3.02
2026-03-02 11:52:59.069,3.04,0.61,3.62,3.0328999999999997,3.025
2026-03-02 11:52:59.174,3.02,0.61,3.62,3.0328,3.025
2026-03-02 11:52:59.273,3.01,0.61,3.62,3.0326999999999997,3.025
2026-03-02 11:52:59.782,3.04,0.61,3.62,3.0328,3.025
2026-03-02 11:52:59.992,3.03,0.61,3.62,3.0326,3.03
2026-03-02 11:53:00.203,3.04,0.61,3.62,3.0324,3.035
2026-03-02 11:53:00.306,3.04,0.61,3.62,3.0326999999999997,3.035
2026-03-02 11:53:00.410,3.03,0.61,3.62,3.0328999999999997,3.03
2026-03-02 11:53:00.513,3.02,0.61,3.62,3.0326999999999997,3.03
2026-03-02 11:53:00.618,3.02,0.61,3.62,3.0325,3.03
2026-03-02 11:53:00.725,3.03,0.61,3.62,3.0325,3.03
2026-03-02 11:53:00.828,3.04,0.61,3.62,3.0326999999999997,3.03
2026-03-02 11:53:00.927,3.04,0.61,3.62,3.0328999999999997,3.035
2026-03-02 11:53:01.030,3.03,0.61,3.62,3.0328999999999997,3.03
2026-03-02 11:53:01.144,3.03,0.61,3.62,3.033,3.03
2026-03-02 11:53:01.237,3.05,0.61,3.62,3.0331,3.03
2026-03-02 11:53:01.348,3.06,0.61,3.62,3.0332999999999997,3.03
2026-03-02 11:53:01.551,3.03,0.61,3.62,3.033,3.03
2026-03-02 11:53:01.752,3.05,0.61,3.62,3.0331,3.035
2026-03-02 11:53:01.860,3.03,0.61,3.62,3.0328,3.035
2026-03-02 11:53:01.959,3.03,0.61,3.62,3.0328,3.035
2026-03-02 11:53:02.064,3.05,0.61,3.62,3.033,3.035
2026-03-02 11:53:02.172,3.04,0.61,3.62,3.0332999999999997,3.035
2026-03-02 11:53:02.277,3.03,0.61,3.62,3.0336000000000003,3.035
2026-03-02 11:53:02.378,3.04,0.61,3.62,3.0334,3.04
2026-03-02 11:53:02.479,3.03,0.61,3.62,3.0332,3.035
2026-03-02 11:53:02.583,3.02,0.61,3.62,3.0332,3.03
2026-03-02 11:53:02.693,3.03,0.61,3.62,3.033,3.03
2026-03-02 11:53:02.794,3.06,0.61,3.62,3.033,3.03
2026-03-02 11:53:02.897,3.01,0.61,3.62,3.0326999999999997,3.03
2026-03-02 11:53:03.000,3.04,0.61,3.62,3.0328999999999997,3.035
2026-03-02 11:53:03.103,3.02,0.61,3.62,3.0326999999999997,3.03
2026-03-02 11:53:03.203,3.04,0.61,3.62,3.0326,3.03
2026-03-02 11:53:03.526,3.06,0.61,3.62,3.033,3.035
2026-03-02 11:53:03.626,3.02,0.61,3.62,3.0328999999999997,3.03
2026-03-02 11:53:03.726,3.03,0.61,3.62,3.0328999999999997,3.03
2026-03-02 11:53:03.833,3.05,0.61,3.62,3.0328999999999997,3.035
2026-03-02 11:53:03.943,3.06,0.61,3.62,3.0332999999999997,3.04
2026-03-02 11:53:04.051,3.05,0.61,3.62,3.0334999999999996,3.04
2026-03-02 11:53:04.142,3.05,0.61,3.62,3.0336000000000003,3.045
2026-03-02 11:53:04.245,3.04,0.61,3.62,3.0336000000000003,3.045
2026-03-02 11:53:04.350,3.04,0.61,3.62,3.0336000000000003,3.045
2026-03-02 11:53:04.451,3.06,0.61,3.62,3.0339,3.05
2026-03-02 11:53:04.555,3.05,0.61,3.62,3.034,3.05
2026-03-02 11:53:04.663,3.02,0.61,3.62,3.0339,3.05
2026-03-02 11:53:04.767,3.04,0.61,3.62,3.034,3.05
2026-03-02 11:53:04.873,3.03,0.61,3.62,3.0339,3.045
2026-03-02 11:53:04.975,3.02,0.61,3.62,3.0339,3.04
2026-03-02 11:53:05.080,3.03,0.61,3.62,3.0340999999999996,3.04
2026-03-02 11:53:05.175,3.05,0.61,3.62,3.0343,3.04
