Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:32:30.163,9.1,5.15,10.06,8.2553,9.09
2026-02-27 11:32:30.251,9.1,5.15,10.06,8.294500000000001,9.1
2026-02-27 11:32:30.355,9.09,5.15,10.06,8.3338,9.1
2026-02-27 11:32:30.460,9.08,5.15,10.06,8.3728,9.1
2026-02-27 11:32:30.575,9.08,5.15,10.06,8.4118,9.094999999999999
2026-02-27 11:32:30.666,9.12,5.15,10.06,8.4513,9.094999999999999
2026-02-27 11:32:30.779,9.1,5.15,10.06,8.4901,9.1
2026-02-27 11:32:31.093,9.1,5.15,10.06,8.5293,9.1
2026-02-27 11:32:31.293,9.12,5.15,10.06,8.5689,9.1
2026-02-27 11:32:31.391,9.11,5.15,10.06,8.6073,9.1
2026-02-27 11:32:31.499,9.08,5.15,10.06,8.645900000000001,9.1
2026-02-27 11:32:31.605,9.12,5.15,10.06,8.6824,9.1
2026-02-27 11:32:31.803,9.14,5.15,10.06,8.719199999999999,9.105
2026-02-27 11:32:31.908,9.1,5.15,10.06,8.7522,9.105
2026-02-27 11:32:32.027,9.12,5.15,10.06,8.7859,9.114999999999998
2026-02-27 11:32:32.123,9.08,5.15,10.06,8.8211,9.105
2026-02-27 11:32:32.226,9.09,5.15,10.06,8.8554,9.105
2026-02-27 11:32:32.334,9.1,5.15,10.06,8.8886,9.105
2026-02-27 11:32:32.438,9.08,5.15,10.06,8.9231,9.1
2026-02-27 11:32:32.534,9.09,5.15,10.06,8.956,9.094999999999999
2026-02-27 11:32:32.640,9.09,5.15,10.06,8.9886,9.094999999999999
2026-02-27 11:32:32.745,9.11,5.15,10.06,9.0229,9.094999999999999
2026-02-27 11:32:32.852,9.08,5.15,10.06,9.0576,9.09
2026-02-27 11:32:32.943,9.14,5.15,10.06,9.0922,9.09
2026-02-27 11:32:33.050,9.13,5.15,10.06,9.127699999999999,9.09
2026-02-27 11:32:33.154,9.11,5.15,10.06,9.1592,9.094999999999999
2026-02-27 11:32:33.257,9.09,5.15,10.06,9.156699999999999,9.094999999999999
2026-02-27 11:32:33.368,9.13,5.15,10.06,9.1574,9.1
2026-02-27 11:32:33.571,9.14,5.15,10.06,9.1557,9.11
2026-02-27 11:32:33.777,9.11,5.15,10.06,9.1542,9.11
2026-02-27 11:32:33.881,9.14,5.15,10.06,9.152999999999999,9.120000000000001
2026-02-27 11:32:33.987,9.15,5.15,10.06,9.150699999999999,9.13
