Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:11:06.668,0.87,0.82,1.31,0.8752,0.9
2026-02-27 11:11:06.774,0.85,0.82,1.31,0.8748999999999999,0.895
2026-02-27 11:11:06.878,0.88,0.82,1.31,0.8751000000000001,0.895
2026-02-27 11:11:06.977,0.89,0.82,1.31,0.875,0.895
2026-02-27 11:11:07.179,0.86,0.82,1.31,0.8748999999999999,0.885
2026-02-27 11:11:07.295,0.85,0.82,1.31,0.8745,0.875
2026-02-27 11:11:07.497,0.89,0.82,1.31,0.8748999999999999,0.875
2026-02-27 11:11:07.706,0.89,0.82,1.31,0.8753,0.875
2026-02-27 11:11:07.904,0.86,0.82,1.31,0.875,0.875
2026-02-27 11:11:08.007,0.88,0.82,1.31,0.8752,0.875
2026-02-27 11:11:08.213,0.88,0.82,1.31,0.8754000000000001,0.88
2026-02-27 11:11:08.315,0.89,0.82,1.31,0.8756999999999999,0.88
2026-02-27 11:11:08.418,0.89,0.82,1.31,0.8758,0.885
2026-02-27 11:11:08.524,0.87,0.82,1.31,0.8759999999999999,0.88
2026-02-27 11:11:08.625,0.87,0.82,1.31,0.8759,0.88
2026-02-27 11:12:59.749,0.89,0.37,1.26,0.8844,0.9
2026-02-27 11:12:59.844,0.89,0.37,1.26,0.8845000000000001,0.9
2026-02-27 11:12:59.962,0.9,0.37,1.26,0.8848,0.9
2026-02-27 11:13:00.053,0.89,0.37,1.26,0.8848,0.9
2026-02-27 11:13:00.158,0.89,0.37,1.26,0.8847,0.895
2026-02-27 11:13:00.265,0.89,0.37,1.26,0.8848,0.89
2026-02-27 11:13:00.371,0.9,0.37,1.26,0.8848999999999999,0.89
2026-02-27 11:13:00.472,0.91,0.37,1.26,0.8853,0.895
2026-02-27 11:13:00.574,0.9,0.37,1.26,0.8855,0.895
2026-02-27 11:13:00.682,0.9,0.37,1.26,0.8857,0.895
2026-02-27 11:13:00.784,0.89,0.37,1.26,0.8859,0.895
2026-02-27 11:13:00.894,0.86,0.37,1.26,0.8857,0.895
2026-02-27 11:13:00.988,0.87,0.37,1.26,0.8856,0.89
2026-02-27 11:13:01.194,0.89,0.37,1.26,0.8858,0.89
2026-02-27 11:13:01.299,0.87,0.37,1.26,0.8857,0.89
2026-02-27 11:13:01.405,0.9,0.37,1.26,0.8859999999999999,0.895
2026-02-27 11:13:01.506,0.9,0.37,1.26,0.8861,0.895
2026-02-27 11:13:01.613,0.87,0.37,1.26,0.8862000000000001,0.89
2026-02-27 11:13:01.711,0.88,0.37,1.26,0.8863,0.885
2026-02-27 11:13:01.808,0.88,0.37,1.26,0.8863,0.88
2026-02-27 11:13:01.923,0.87,0.37,1.26,0.8862000000000001,0.875
2026-02-27 11:13:02.031,0.86,0.37,1.26,0.8859999999999999,0.875
2026-02-27 11:13:02.137,0.88,0.37,1.26,0.8862000000000001,0.88
2026-02-27 11:13:02.230,0.87,0.37,1.26,0.8863,0.875
2026-02-27 11:13:02.336,0.88,0.37,1.26,0.8865000000000001,0.88
2026-02-27 11:13:02.439,0.86,0.37,1.26,0.8863,0.875
