Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:17:12.144,3.05,2.89,3.27,3.0481,3.05
2026-02-27 11:17:12.242,3.05,2.89,3.27,3.0483999999999996,3.05
2026-02-27 11:17:12.349,3.05,2.89,3.27,3.0485,3.05
2026-02-27 11:17:12.449,3.06,2.89,3.27,3.0487,3.05
2026-02-27 11:17:12.556,3.07,2.89,3.27,3.0492000000000004,3.05
2026-02-27 11:17:12.658,3.06,2.89,3.27,3.0496,3.0549999999999997
2026-02-27 11:17:12.774,3.04,2.89,3.27,3.0496,3.0549999999999997
2026-02-27 11:17:12.874,3.05,2.89,3.27,3.0496999999999996,3.05
2026-02-27 11:17:13.077,3.05,2.89,3.27,3.0498000000000003,3.05
2026-02-27 11:17:13.178,3.06,2.89,3.27,3.0502,3.05
2026-02-27 11:17:13.378,3.02,2.89,3.27,3.0499,3.05
2026-02-27 11:17:13.494,3.04,2.89,3.27,3.0499,3.05
2026-02-27 11:17:13.587,3.04,2.89,3.27,3.05,3.05
2026-02-27 11:17:13.701,3.05,2.89,3.27,3.0502999999999996,3.05
2026-02-27 11:17:13.803,3.07,2.89,3.27,3.0506,3.05
2026-02-27 11:17:13.905,3.05,2.89,3.27,3.0504000000000002,3.05
2026-02-27 11:17:14.113,3.05,2.89,3.27,3.0505,3.05
2026-02-27 11:17:14.215,3.05,2.89,3.27,3.0506,3.05
2026-02-27 11:17:14.319,3.05,2.89,3.27,3.0505,3.05
2026-02-27 11:17:14.419,3.02,2.89,3.27,3.0502999999999996,3.05
2026-02-27 11:17:14.529,3.05,2.89,3.27,3.0502,3.05
2026-02-27 11:17:14.632,3.02,2.89,3.27,3.0496999999999996,3.05
2026-02-27 11:17:14.730,3.02,2.89,3.27,3.0493,3.05
2026-02-27 11:17:14.846,3.04,2.89,3.27,3.0490999999999997,3.05
2026-02-27 11:17:14.955,3.03,2.89,3.27,3.0487,3.045
2026-02-27 11:17:15.045,3.04,2.89,3.27,3.0487,3.04
2026-02-27 11:17:15.150,3.03,2.89,3.27,3.0483,3.035
2026-02-27 11:17:15.253,3.04,2.89,3.27,3.0482,3.035
2026-02-27 11:17:15.353,3.06,2.89,3.27,3.0483,3.035
2026-02-27 11:17:15.470,3.02,2.89,3.27,3.0477999999999996,3.035
2026-02-27 11:17:15.568,3.03,2.89,3.27,3.0475,3.03
2026-02-27 11:17:15.768,3.04,2.89,3.27,3.0471,3.035
2026-02-27 11:17:15.871,3.06,2.89,3.27,3.0471,3.04
2026-02-27 11:17:15.979,3.04,2.89,3.27,3.0471,3.04
2026-02-27 11:17:16.086,3.06,2.89,3.27,3.0471,3.04
2026-02-27 11:17:16.181,3.05,2.89,3.27,3.0469,3.04
2026-02-27 11:17:16.297,3.05,2.89,3.27,3.0468,3.045
2026-02-27 11:17:16.397,3.04,2.89,3.27,3.0465999999999998,3.045
2026-02-27 11:17:16.500,3.06,2.89,3.27,3.0463999999999998,3.045
2026-02-27 11:17:16.602,3.04,2.89,3.27,3.0462000000000002,3.045
2026-02-27 11:17:16.700,3.04,2.89,3.27,3.046,3.045
2026-02-27 11:17:16.803,3.05,2.89,3.27,3.046,3.05
2026-02-27 11:17:16.905,3.04,2.89,3.27,3.046,3.045
2026-02-27 11:17:17.019,3.07,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:17.127,3.06,2.89,3.27,3.0463999999999998,3.05
2026-02-27 11:17:17.224,3.06,2.89,3.27,3.0465999999999998,3.05
2026-02-27 11:17:17.329,3.05,2.89,3.27,3.0465,3.05
2026-02-27 11:17:17.431,3.02,2.89,3.27,3.046,3.05
2026-02-27 11:17:17.537,3.04,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:17.636,3.02,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:17.743,3.03,2.89,3.27,3.0456,3.045
2026-02-27 11:17:17.944,3.04,2.89,3.27,3.0457,3.04
2026-02-27 11:17:18.048,3.05,2.89,3.27,3.0458,3.045
2026-02-27 11:17:18.150,3.06,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:18.265,3.05,2.89,3.27,3.0461,3.045
2026-02-27 11:17:18.374,3.02,2.89,3.27,3.046,3.04
2026-02-27 11:17:18.468,3.04,2.89,3.27,3.0462000000000002,3.04
2026-02-27 11:17:18.583,3.06,2.89,3.27,3.0462000000000002,3.04
2026-02-27 11:17:18.674,3.05,2.89,3.27,3.0463,3.045
2026-02-27 11:17:18.789,3.05,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:18.883,3.05,2.89,3.27,3.046,3.05
2026-02-27 11:17:18.980,3.05,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:19.096,3.05,2.89,3.27,3.0465,3.05
2026-02-27 11:17:19.301,3.06,2.89,3.27,3.0467,3.05
2026-02-27 11:17:19.507,3.04,2.89,3.27,3.0465999999999998,3.05
2026-02-27 11:17:19.613,3.04,2.89,3.27,3.0465999999999998,3.05
2026-02-27 11:17:19.718,3.05,2.89,3.27,3.0463999999999998,3.05
2026-02-27 11:17:19.811,3.04,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:19.914,3.04,2.89,3.27,3.0463,3.05
2026-02-27 11:17:20.019,3.05,2.89,3.27,3.0463,3.05
2026-02-27 11:17:20.133,3.04,2.89,3.27,3.0461,3.045
2026-02-27 11:17:20.235,3.05,2.89,3.27,3.046,3.045
2026-02-27 11:17:20.343,3.05,2.89,3.27,3.046,3.045
2026-02-27 11:17:20.442,3.05,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:20.540,3.05,2.89,3.27,3.0458,3.05
2026-02-27 11:17:20.641,3.07,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:20.747,3.05,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:20.849,3.03,2.89,3.27,3.0458999999999996,3.05
2026-02-27 11:17:20.958,3.05,2.89,3.27,3.0458,3.05
2026-02-27 11:17:21.068,3.04,2.89,3.27,3.0457,3.05
2026-02-27 11:17:21.172,3.05,2.89,3.27,3.0457,3.05
2026-02-27 11:17:21.271,3.05,2.89,3.27,3.046,3.05
2026-02-27 11:17:21.377,3.04,2.89,3.27,3.046,3.05
2026-02-27 11:17:21.482,3.01,2.89,3.27,3.0458,3.05
2026-02-27 11:17:21.582,3.02,2.89,3.27,3.0455,3.045
2026-02-27 11:17:21.681,3.05,2.89,3.27,3.0457,3.045
2026-02-27 11:17:21.786,3.07,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:21.897,3.07,2.89,3.27,3.0462000000000002,3.05
2026-02-27 11:17:22.002,3.03,2.89,3.27,3.046,3.045
2026-02-27 11:17:22.098,3.04,2.89,3.27,3.046,3.045
2026-02-27 11:17:22.205,3.02,2.89,3.27,3.0456,3.04
2026-02-27 11:17:22.312,3.05,2.89,3.27,3.0456,3.04
2026-02-27 11:17:22.417,3.09,2.89,3.27,3.0461,3.045
2026-02-27 11:17:22.518,3.03,2.89,3.27,3.0458999999999996,3.045
2026-02-27 11:17:22.623,3.04,2.89,3.27,3.0458,3.045
2026-02-27 11:17:22.721,3.03,2.89,3.27,3.0457,3.04
2026-02-27 11:17:22.828,3.04,2.89,3.27,3.0456,3.04
2026-02-27 11:17:23.034,3.05,2.89,3.27,3.0454000000000003,3.04
2026-02-27 11:17:23.139,3.04,2.89,3.27,3.0452999999999997,3.04
2026-02-27 11:17:23.246,3.06,2.89,3.27,3.0452999999999997,3.04
2026-02-27 11:17:23.348,3.07,2.89,3.27,3.0455,3.045
2026-02-27 11:17:23.450,3.06,2.89,3.27,3.0456,3.045
2026-02-27 11:17:23.552,3.05,2.89,3.27,3.0456,3.045
2026-02-27 11:17:23.868,3.07,2.89,3.27,3.0457,3.05
2026-02-27 11:17:23.972,3.05,2.89,3.27,3.0455,3.05
2026-02-27 11:17:24.073,3.05,2.89,3.27,3.0454000000000003,3.05
2026-02-27 11:17:24.174,3.06,2.89,3.27,3.0456,3.0549999999999997
2026-02-27 11:17:24.280,3.06,2.89,3.27,3.0457,3.06
2026-02-27 11:17:24.379,3.05,2.89,3.27,3.0457,3.06
2026-02-27 11:17:24.489,3.04,2.89,3.27,3.0455,3.0549999999999997
2026-02-27 11:17:24.597,3.04,2.89,3.27,3.0457,3.05
2026-02-27 11:17:24.696,3.07,2.89,3.27,3.046,3.05
2026-02-27 11:17:24.791,3.04,2.89,3.27,3.046,3.05
2026-02-27 11:17:24.901,3.06,2.89,3.27,3.0461,3.05
2026-02-27 11:17:25.002,3.07,2.89,3.27,3.0461,3.0549999999999997
2026-02-27 11:17:25.103,3.07,2.89,3.27,3.0463,3.06
2026-02-27 11:17:25.214,3.04,2.89,3.27,3.0462000000000002,3.0549999999999997
2026-02-27 11:17:25.317,3.04,2.89,3.27,3.0461,3.045
2026-02-27 11:17:25.522,3.04,2.89,3.27,3.046,3.04
