Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
11:44:35.687,0,0.0,1.18,1.159,0.725,1.401,1.142,1.163
11:44:35.892,0,0.0,1.25,1.178,0.725,1.401,1.142,1.164
11:44:36.081,0,0.0,1.1,1.162,0.725,1.401,1.142,1.164
11:44:36.288,0,0.0,1.28,1.185,0.725,1.401,1.142,1.164
11:44:36.492,0,0.0,1.24,1.197,0.725,1.401,1.142,1.164
11:44:36.681,0,0.0,1.29,1.215,0.725,1.401,1.143,1.164
11:44:36.887,0,0.0,1.28,1.229,0.725,1.401,1.143,1.164
11:44:37.093,0,0.0,1.26,1.234,0.725,1.401,1.143,1.164
11:44:37.281,0,0.0,1.25,1.238,0.725,1.401,1.144,1.166
11:44:37.488,0,0.0,1.1,1.211,0.725,1.401,1.145,1.166
11:44:37.695,0,0.0,0.92,1.153,0.725,1.401,1.144,1.164
11:44:37.885,0,0.0,1.12,1.147,0.725,1.401,1.144,1.163
11:44:38.089,0,0.0,1.09,1.137,0.725,1.401,1.143,1.163
11:44:38.295,0,0.0,0.86,1.082,0.725,1.401,1.142,1.160
11:44:38.486,0,0.0,1.19,1.103,0.725,1.401,1.141,1.159
11:44:38.689,0,0.0,1.22,1.126,0.725,1.401,1.141,1.159
11:44:38.895,0,0.0,0.97,1.094,0.725,1.401,1.140,1.159
11:44:39.084,0,0.0,1.04,1.084,0.725,1.401,1.139,1.157
11:44:39.289,0,0.0,1.15,1.097,0.725,1.401,1.138,1.155
11:44:39.494,0,0.0,1.0,1.078,0.725,1.401,1.137,1.155
11:44:39.686,0,0.0,0.9,1.043,0.725,1.401,1.137,1.155
11:44:39.893,0,0.0,1.05,1.045,0.725,1.401,1.136,1.155
11:44:40.083,0,0.0,0.86,1.007,0.725,1.401,1.135,1.155
11:44:40.290,0,0.0,0.92,0.99,0.725,1.401,1.133,1.155
11:44:40.481,0,0.0,0.86,0.963,0.725,1.401,1.131,1.154
11:44:40.689,0,0.0,0.94,0.958,0.725,1.401,1.129,1.153
11:44:40.892,0,0.0,0.92,0.952,0.725,1.401,1.127,1.150
11:44:41.080,0,0.0,0.91,0.943,0.725,1.401,1.125,1.142
11:44:41.288,0,0.0,0.92,0.937,0.725,1.401,1.123,1.132
11:44:41.494,0,0.0,0.91,0.933,0.725,1.401,1.120,1.127
11:44:41.685,0,0.0,0.91,0.928,0.725,1.401,1.118,1.127
11:44:41.891,0,0.0,0.98,0.939,0.725,1.401,1.116,1.127
11:44:42.083,0,0.0,0.86,0.924,0.725,1.401,1.113,1.127
11:44:42.288,0,0.0,1.09,0.957,0.725,1.401,1.111,1.125
11:44:42.495,0,0.0,1.14,0.993,0.725,1.401,1.109,1.120
11:44:42.687,0,0.0,1.15,1.025,0.725,1.401,1.108,1.114
11:44:42.893,0,0.0,1.05,1.031,0.725,1.401,1.106,1.111
11:44:43.084,0,0.0,0.86,0.998,0.725,1.401,1.104,1.109
11:44:43.289,0,0.0,1.1,1.017,0.725,1.401,1.102,1.107
11:44:43.492,0,0.0,1.0,1.013,0.725,1.401,1.100,1.105
11:44:43.695,0,0.0,0.87,0.984,0.725,1.401,1.098,1.103
11:44:43.885,0,0.0,0.85,0.957,0.725,1.401,1.096,1.103
11:44:44.092,0,0.0,0.85,0.936,0.725,1.401,1.093,1.099
11:44:44.295,0,0.0,0.86,0.922,0.725,1.401,1.090,1.095
11:44:44.485,0,0.0,0.9,0.917,0.725,1.401,1.086,1.094
11:44:44.693,0,0.0,0.9,0.913,0.725,1.401,1.083,1.093
11:44:44.884,0,0.0,0.92,0.914,0.725,1.401,1.080,1.089
11:44:45.090,0,0.0,1.02,0.936,0.725,1.401,1.077,1.085
11:44:45.296,0,0.0,1.05,0.958,0.725,1.401,1.074,1.084
11:44:45.485,0,0.0,1.02,0.97,0.725,1.401,1.071,1.083
11:44:45.691,0,0.0,0.98,0.971,0.725,1.401,1.068,1.080
11:44:45.880,0,0.0,1.03,0.983,0.725,1.401,1.066,1.075
11:44:46.088,0,0.0,0.97,0.979,0.725,1.401,1.063,1.070
11:44:46.295,0,0.0,0.89,0.962,0.725,1.401,1.060,1.063
11:44:46.485,0,0.0,0.89,0.947,0.725,1.401,1.057,1.058
11:44:46.692,0,0.0,0.96,0.949,0.725,1.401,1.054,1.050
11:44:46.881,0,0.0,1.14,0.987,0.725,1.401,1.051,1.045
11:44:47.087,0,0.0,1.07,1.003,0.725,1.401,1.048,1.044
11:44:47.294,0,0.0,1.09,1.021,0.725,1.401,1.046,1.043
11:44:47.484,0,0.0,1.08,1.033,0.725,1.401,1.045,1.040
11:44:47.691,0,0.0,0.99,1.025,0.725,1.401,1.043,1.035
11:44:47.896,0,0.0,1.02,1.025,0.725,1.401,1.041,1.032
11:44:48.084,0,0.0,0.98,1.015,0.725,1.401,1.040,1.031
11:44:48.304,0,0.0,1.01,1.015,0.725,1.401,1.038,1.028
11:44:48.496,0,0.0,0.95,1.003,0.725,1.401,1.037,1.025
11:44:48.685,0,0.0,0.98,0.998,0.725,1.401,1.036,1.025
11:44:48.890,0,0.0,1.06,1.011,0.725,1.401,1.034,1.023
11:44:49.094,0,0.0,0.95,0.999,0.725,1.401,1.033,1.019
11:44:49.283,0,0.0,0.94,0.987,0.725,1.401,1.032,1.016
11:44:49.488,0,0.0,1.03,0.995,0.725,1.401,1.030,1.015
11:44:49.695,0,0.0,0.97,0.99,0.725,1.401,1.029,1.014
11:44:49.886,0,0.0,1.03,0.999,0.725,1.401,1.028,1.012
11:44:50.092,0,0.0,1.03,1.004,0.725,1.401,1.027,1.009
11:44:50.282,0,0.0,1.04,1.011,0.725,1.401,1.026,1.009
11:44:50.488,0,0.0,1.05,1.018,0.725,1.401,1.026,1.009
11:44:50.693,0,0.0,0.99,1.013,0.725,1.401,1.025,1.009
11:44:50.882,0,0.0,1.08,1.027,0.725,1.401,1.024,1.009
11:44:51.087,0,0.0,1.09,1.04,0.725,1.401,1.024,1.009
11:44:51.292,0,0.0,0.98,1.029,0.725,1.401,1.024,1.009
11:44:51.483,0,0.0,1.08,1.038,0.725,1.401,1.024,1.009
11:44:51.689,0,0.0,1.02,1.035,0.725,1.401,1.024,1.009
11:44:51.893,0,0.0,0.97,1.023,0.725,1.401,1.023,1.009
11:44:52.084,0,0.0,0.96,1.011,0.725,1.401,1.023,1.009
11:44:52.289,0,0.0,1.13,1.035,0.725,1.401,1.023,1.009
11:44:52.481,0,0.0,1.07,1.042,0.725,1.401,1.023,1.011
11:44:52.686,0,0.0,1.08,1.05,0.725,1.401,1.024,1.011
11:44:52.890,0,0.0,1.06,1.052,0.725,1.401,1.025,1.012
11:44:53.095,0,0.0,0.96,1.034,0.725,1.401,1.026,1.013
11:44:53.285,0,0.0,1.06,1.04,0.725,1.401,1.028,1.014
11:44:53.490,0,0.0,1.13,1.057,0.725,1.401,1.030,1.015
11:44:53.682,0,0.0,1.11,1.068,0.725,1.401,1.031,1.016
11:44:53.886,0,0.0,1.09,1.072,0.725,1.401,1.033,1.018
11:44:54.094,0,0.0,1.04,1.066,0.725,1.401,1.034,1.019
11:44:54.285,0,0.0,1.07,1.067,0.725,1.401,1.035,1.022
11:44:54.488,0,0.0,0.94,1.041,0.725,1.401,1.035,1.022
11:44:54.695,0,0.0,1.06,1.044,0.725,1.401,1.034,1.022
11:44:54.885,0,0.0,1.04,1.043,0.725,1.401,1.034,1.022
11:44:55.090,0,0.0,1.02,1.039,0.725,1.401,1.033,1.022
11:44:55.297,0,0.0,1.04,1.038,0.725,1.401,1.032,1.022
11:44:55.489,0,0.0,1.0,1.03,0.725,1.401,1.031,1.022
11:44:55.694,0,0.0,1.03,1.03,0.725,1.401,1.029,1.022
11:44:55.885,0,0.0,0.98,1.02,0.725,1.401,1.028,1.020
11:44:56.090,0,0.0,0.96,1.008,0.725,1.401,1.026,1.019
11:44:56.296,0,0.0,0.94,0.994,0.725,1.401,1.024,1.018
11:44:56.488,0,0.0,0.97,0.99,0.725,1.401,1.022,1.016
11:44:56.693,0,0.0,1.0,0.993,0.725,1.401,1.020,1.015
11:44:56.884,0,0.0,1.0,0.994,0.725,1.401,1.018,1.014
11:44:57.090,0,0.0,1.05,1.005,0.725,1.401,1.016,1.013
11:44:57.296,0,0.0,0.95,0.995,0.725,1.401,1.013,1.012
11:44:57.488,0,0.0,1.03,1.003,0.725,1.401,1.011,1.011
11:44:57.694,0,0.0,1.02,1.005,0.725,1.401,1.010,1.011
11:44:57.884,0,0.0,1.13,1.03,0.725,1.401,1.008,1.011
11:44:58.089,0,0.0,1.01,1.025,0.725,1.401,1.007,1.011
11:44:58.294,0,0.0,0.96,1.013,0.725,1.401,1.007,1.011
11:44:58.485,0,0.0,1.23,1.056,0.725,1.401,1.006,1.011
11:44:58.690,0,0.0,1.1,1.064,0.725,1.401,1.005,1.011
11:44:58.896,0,0.0,1.11,1.073,0.725,1.401,1.005,1.011
11:44:59.085,0,0.0,1.03,1.064,0.725,1.401,1.005,1.011
11:44:59.290,0,0.0,1.08,1.067,0.725,1.401,1.005,1.011
11:44:59.496,0,0.0,1.1,1.074,0.725,1.401,1.005,1.011
11:44:59.685,0,0.0,0.97,1.054,0.725,1.401,1.005,1.011
11:44:59.887,0,0.0,1.2,1.084,0.725,1.401,1.005,1.011
11:45:00.092,0,0.0,1.15,1.098,0.725,1.401,1.006,1.011
11:45:00.283,0,0.0,1.07,1.091,0.725,1.401,1.007,1.012
11:45:00.489,0,0.0,1.04,1.082,0.725,1.401,1.008,1.013
11:45:00.696,0,0.0,1.16,1.097,0.725,1.401,1.010,1.013
11:45:00.885,0,0.0,0.96,1.069,0.725,1.401,1.011,1.014
11:45:01.091,0,0.0,0.95,1.045,0.725,1.401,1.012,1.015
11:45:01.281,0,0.0,1.04,1.044,0.725,1.401,1.013,1.016
11:45:01.485,0,0.0,1.01,1.037,0.725,1.401,1.014,1.018
11:45:01.691,0,0.0,0.92,1.014,0.725,1.401,1.015,1.018
11:45:01.881,0,0.0,1.07,1.025,0.725,1.401,1.016,1.019
11:45:02.088,0,0.0,1.04,1.029,0.725,1.401,1.017,1.020
11:45:02.293,0,0.0,1.0,1.023,0.725,1.401,1.017,1.022
11:45:02.483,0,0.0,1.09,1.036,0.725,1.401,1.018,1.023
11:45:02.688,0,0.0,0.9,1.009,0.725,1.401,1.018,1.022
11:45:02.894,0,0.0,0.95,0.997,0.725,1.401,1.017,1.020
11:45:03.084,0,0.0,0.98,0.994,0.725,1.401,1.017,1.020
11:45:03.290,0,0.0,1.08,1.012,0.725,1.401,1.017,1.020
11:45:03.495,0,0.0,0.99,1.008,0.725,1.401,1.017,1.020
11:45:03.684,0,0.0,0.99,1.004,0.725,1.401,1.017,1.020
11:45:03.889,0,0.0,1.01,1.006,0.725,1.401,1.018,1.020
11:45:04.093,0,0.0,1.02,1.01,0.725,1.401,1.019,1.020
11:45:04.300,0,0.0,1.01,1.009,0.725,1.401,1.020,1.020
11:45:04.492,0,0.0,1.09,1.027,0.725,1.401,1.021,1.022
11:45:04.682,0,0.0,0.99,1.019,0.725,1.401,1.022,1.022
11:45:04.889,0,0.0,0.93,1.001,0.725,1.401,1.023,1.022
11:45:05.081,0,0.0,1.04,1.01,0.725,1.401,1.023,1.022
11:45:05.287,0,0.0,0.94,0.995,0.725,1.401,1.024,1.022
11:45:05.493,0,0.0,1.03,1.001,0.725,1.401,1.024,1.022
11:45:05.682,0,0.0,1.13,1.026,0.725,1.401,1.025,1.023
11:45:05.886,0,0.0,1.12,1.045,0.725,1.401,1.025,1.024
11:45:06.092,0,0.0,1.12,1.059,0.725,1.401,1.026,1.025
11:45:06.282,0,0.0,1.11,1.07,0.725,1.401,1.027,1.025
11:45:06.487,0,0.0,1.06,1.068,0.725,1.401,1.028,1.025
11:45:06.692,0,0.0,1.09,1.071,0.725,1.401,1.029,1.026
11:45:06.882,0,0.0,1.05,1.068,0.725,1.401,1.030,1.026
11:45:07.088,0,0.0,1.08,1.07,0.725,1.401,1.031,1.027
11:45:07.293,0,0.0,1.09,1.073,0.725,1.401,1.031,1.028
11:45:07.483,0,0.0,0.98,1.053,0.725,1.401,1.032,1.028
11:45:07.688,0,0.0,1.04,1.051,0.725,1.401,1.032,1.029
11:45:07.894,0,0.0,1.04,1.049,0.725,1.401,1.032,1.030
11:45:08.082,0,0.0,1.05,1.05,0.725,1.401,1.032,1.030
11:45:08.286,0,0.0,1.05,1.049,0.725,1.401,1.033,1.030
11:45:08.491,0,0.0,1.08,1.056,0.725,1.401,1.033,1.032
11:45:08.695,0,0.0,1.1,1.065,0.725,1.401,1.034,1.034
11:45:08.885,0,0.0,1.07,1.067,0.725,1.401,1.035,1.035
11:45:09.093,0,0.0,1.12,1.077,0.725,1.401,1.035,1.035
11:45:09.284,0,0.0,1.19,1.099,0.725,1.401,1.036,1.036
11:45:09.490,0,0.0,1.04,1.087,0.725,1.401,1.037,1.038
11:45:09.681,0,0.0,1.13,1.096,0.725,1.401,1.038,1.038
11:45:09.886,0,0.0,1.0,1.077,0.725,1.401,1.039,1.038
11:45:10.093,0,0.0,1.02,1.065,0.725,1.401,1.040,1.039
11:45:10.282,0,0.0,1.1,1.071,0.725,1.401,1.040,1.040
11:45:10.487,0,0.0,1.1,1.077,0.725,1.401,1.041,1.040
11:45:10.692,0,0.0,1.04,1.07,0.725,1.401,1.042,1.042
11:45:10.898,0,0.0,0.94,1.044,0.725,1.401,1.042,1.042
11:45:11.088,0,0.0,1.02,1.04,0.725,1.401,1.042,1.042
11:45:11.292,0,0.0,0.99,1.031,0.725,1.401,1.042,1.042
11:45:11.482,0,0.0,1.17,1.06,0.725,1.401,1.042,1.043
11:45:11.690,0,0.0,0.96,1.039,0.725,1.401,1.042,1.043
11:45:11.895,0,0.0,1.09,1.049,0.725,1.401,1.042,1.044
11:45:12.085,0,0.0,1.08,1.056,0.725,1.401,1.043,1.044
11:45:12.290,0,0.0,1.08,1.062,0.725,1.401,1.043,1.044
11:45:12.495,0,0.0,1.23,1.096,0.725,1.401,1.044,1.045
11:45:12.685,0,0.0,1.03,1.084,0.725,1.401,1.044,1.045
11:45:12.891,0,0.0,1.08,1.083,0.725,1.401,1.044,1.045
11:45:13.082,0,0.0,1.13,1.093,0.725,1.401,1.045,1.047
11:45:13.286,0,0.0,1.07,1.089,0.725,1.401,1.045,1.049
11:45:13.492,0,0.0,1.23,1.119,0.725,1.401,1.046,1.049
11:45:13.684,0,0.0,1.18,1.131,0.725,1.401,1.047,1.049
11:45:13.891,0,0.0,1.08,1.121,0.725,1.401,1.047,1.049
11:45:14.081,0,0.0,1.0,1.098,0.725,1.401,1.047,1.049
11:45:14.285,0,0.0,1.2,1.119,0.725,1.401,1.048,1.049
11:45:14.492,0,0.0,1.04,1.103,0.725,1.401,1.049,1.049
11:45:14.695,0,0.0,1.16,1.114,0.725,1.401,1.049,1.050
11:45:14.884,0,0.0,1.14,1.12,0.725,1.401,1.050,1.050
11:45:15.089,0,0.0,1.11,1.117,0.725,1.401,1.051,1.052
11:45:15.295,0,0.0,1.17,1.127,0.725,1.401,1.052,1.054
11:45:15.515,0,0.0,1.12,1.125,0.725,1.401,1.053,1.055
11:45:15.705,0,0.0,1.19,1.139,0.725,1.401,1.054,1.056
11:45:15.895,0,0.0,1.16,1.144,0.725,1.401,1.055,1.056
11:45:16.086,0,0.0,1.21,1.157,0.725,1.401,1.056,1.058
11:45:16.293,0,0.0,1.08,1.142,0.725,1.401,1.058,1.059
11:45:16.483,0,0.0,1.19,1.152,0.725,1.401,1.060,1.061
11:45:16.688,0,0.0,1.21,1.162,0.725,1.401,1.061,1.063
11:45:16.895,0,0.0,1.26,1.182,0.725,1.401,1.063,1.064
11:45:17.087,0,0.0,1.19,1.183,0.725,1.401,1.065,1.065
11:45:17.293,0,0.0,1.28,1.203,0.725,1.401,1.067,1.065
11:45:17.482,0,0.0,1.16,1.194,0.725,1.401,1.069,1.066
11:45:17.686,0,0.0,1.26,1.208,0.725,1.401,1.071,1.067
11:45:17.893,0,0.0,1.26,1.218,0.725,1.401,1.073,1.067
11:45:18.083,0,0.0,1.24,1.223,0.725,1.401,1.075,1.068
11:45:18.290,0,0.0,1.31,1.24,0.725,1.401,1.077,1.069
11:45:18.481,0,0.0,1.17,1.226,0.725,1.401,1.079,1.070
11:45:18.687,0,0.0,0.89,1.158,0.725,1.401,1.080,1.070
11:45:18.894,0,0.0,0.83,1.091,0.725,1.401,1.080,1.070
11:45:19.085,0,0.0,0.86,1.046,0.725,1.401,1.080,1.070
11:45:19.291,0,0.0,1.11,1.059,0.725,1.401,1.080,1.070
11:45:19.481,0,0.0,1.17,1.08,0.725,1.401,1.080,1.070
11:45:19.687,0,0.0,1.26,1.116,0.725,1.401,1.080,1.070
11:45:19.892,0,0.0,1.24,1.141,0.725,1.401,1.081,1.070
11:45:20.082,0,0.0,1.35,1.183,0.725,1.401,1.082,1.070
11:45:20.286,0,0.0,1.24,1.193,0.725,1.401,1.083,1.070
11:45:20.490,0,0.0,1.25,1.204,0.725,1.401,1.084,1.070
11:45:20.696,0,0.0,1.25,1.214,0.725,1.401,1.085,1.070
11:45:20.884,0,0.0,1.16,1.202,0.725,1.401,1.086,1.071
11:45:21.106,0,0.0,1.24,1.21,0.725,1.401,1.088,1.071
