Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
15:01:57.100,0,0.0,1.34,1.342,0.015,5.803,1.309,1.336
15:01:57.308,0,0.0,1.36,1.346,0.015,5.803,1.312,1.337
15:01:57.513,0,0.0,1.48,1.373,0.015,5.803,1.314,1.338
15:01:57.703,0,0.0,1.35,1.369,0.015,5.803,1.317,1.341
15:01:57.909,0,0.0,1.35,1.366,0.015,5.803,1.319,1.343
15:01:58.115,0,0.0,1.47,1.386,0.015,5.803,1.322,1.344
15:01:58.305,0,0.0,1.49,1.407,0.015,5.803,1.324,1.344
15:01:58.512,0,0.0,1.38,1.402,0.015,5.803,1.327,1.345
15:01:58.701,0,0.0,1.37,1.396,0.015,5.803,1.330,1.345
15:01:58.908,0,0.0,1.39,1.396,0.015,5.803,1.332,1.345
15:01:59.113,0,0.0,1.49,1.414,0.015,5.803,1.335,1.346
15:01:59.305,0,0.0,1.47,1.425,0.015,5.803,1.338,1.347
15:01:59.511,0,0.0,1.38,1.416,0.015,5.803,1.341,1.348
15:01:59.702,0,0.0,1.33,1.398,0.015,5.803,1.344,1.349
15:01:59.910,0,0.0,1.41,1.4,0.015,5.803,1.347,1.352
15:02:00.101,0,0.0,1.37,1.394,0.015,5.803,1.349,1.352
15:02:00.309,0,0.0,1.41,1.397,0.015,5.803,1.352,1.353
15:02:00.501,0,0.0,1.39,1.396,0.015,5.803,1.354,1.355
15:02:00.707,0,0.0,1.43,1.403,0.015,5.803,1.357,1.357
15:02:00.914,0,0.0,1.45,1.412,0.015,5.803,1.360,1.358
15:02:01.106,0,0.0,1.4,1.409,0.015,5.803,1.363,1.360
15:02:01.313,0,0.0,1.44,1.416,0.015,5.803,1.365,1.361
15:02:01.504,0,0.0,1.5,1.432,0.015,5.803,1.367,1.363
15:02:01.711,0,0.0,1.51,1.448,0.015,5.803,1.369,1.365
15:02:01.902,0,0.0,1.4,1.439,0.015,5.803,1.370,1.365
15:02:02.110,0,0.0,1.4,1.431,0.015,5.803,1.371,1.365
15:02:02.302,0,0.0,1.41,1.427,0.015,5.803,1.372,1.366
15:02:02.510,0,0.0,1.37,1.415,0.015,5.803,1.373,1.367
15:02:02.716,0,0.0,1.41,1.414,0.015,5.803,1.374,1.369
15:02:02.908,0,0.0,1.38,1.406,0.015,5.803,1.375,1.371
15:02:03.114,0,0.0,1.45,1.415,0.015,5.803,1.376,1.373
15:02:03.304,0,0.0,1.39,1.409,0.015,5.803,1.377,1.377
15:02:03.510,0,0.0,1.44,1.416,0.015,5.803,1.378,1.382
15:02:03.701,0,0.0,1.5,1.434,0.015,5.803,1.379,1.389
15:02:03.923,0,0.0,1.41,1.429,0.015,5.803,1.380,1.393
15:02:04.114,0,0.0,1.16,1.375,0.015,5.803,1.380,1.393
15:02:04.305,0,0.0,1.37,1.374,0.015,5.803,1.380,1.393
15:02:04.511,0,0.0,1.39,1.377,0.015,5.803,1.381,1.393
15:02:04.702,0,0.0,1.51,1.403,0.015,5.803,1.381,1.395
15:02:04.910,0,0.0,1.46,1.414,0.015,5.803,1.382,1.396
15:02:05.101,0,0.0,1.42,1.415,0.015,5.803,1.382,1.396
15:02:05.309,0,0.0,1.54,1.441,0.015,5.803,1.383,1.397
15:02:05.514,0,0.0,1.39,1.431,0.015,5.803,1.384,1.397
15:02:05.704,0,0.0,1.51,1.447,0.015,5.803,1.385,1.399
15:02:05.912,0,0.0,1.44,1.445,0.015,5.803,1.386,1.401
15:02:06.103,0,0.0,1.46,1.449,0.015,5.803,1.387,1.402
15:02:06.309,0,0.0,1.48,1.456,0.015,5.803,1.388,1.403
15:02:06.517,0,0.0,1.34,1.432,0.015,5.803,1.389,1.405
15:02:06.706,0,0.0,1.45,1.435,0.015,5.803,1.390,1.406
15:02:06.914,0,0.0,1.48,1.444,0.015,5.803,1.391,1.406
15:02:07.120,0,0.0,1.44,1.443,0.015,5.803,1.391,1.408
15:02:07.312,0,0.0,1.47,1.449,0.015,5.803,1.392,1.409
15:02:07.502,0,0.0,1.48,1.455,0.015,5.803,1.393,1.410
15:02:07.726,0,0.0,1.49,1.462,0.015,5.803,1.394,1.413
15:02:07.900,0,0.0,1.16,1.401,0.015,5.803,1.394,1.413
15:02:08.108,0,0.0,1.45,1.41,0.015,5.803,1.395,1.413
15:02:08.331,0,0.0,1.45,1.418,0.015,5.803,1.396,1.414
15:02:08.522,0,0.0,1.44,1.422,0.015,5.803,1.397,1.414
15:02:08.715,0,0.0,1.41,1.42,0.015,5.803,1.398,1.414
15:02:08.922,0,0.0,1.49,1.433,0.015,5.803,1.399,1.414
15:02:09.112,0,0.0,1.45,1.436,0.015,5.803,1.400,1.415
15:02:09.351,0,0.0,1.55,1.459,0.015,5.803,1.402,1.415
15:02:09.509,0,0.0,1.54,1.475,0.015,5.803,1.404,1.415
15:02:09.715,0,0.0,1.16,1.411,0.015,5.803,1.405,1.415
15:02:09.905,0,0.0,1.16,1.36,0.015,5.803,1.405,1.415
15:02:10.127,0,0.0,1.57,1.403,0.015,5.803,1.407,1.415
15:02:10.334,0,0.0,1.49,1.42,0.015,5.803,1.408,1.416
15:02:10.509,0,0.0,1.45,1.425,0.015,5.803,1.410,1.416
15:02:10.715,0,0.0,1.41,1.422,0.015,5.803,1.411,1.417
15:02:10.921,0,0.0,1.56,1.45,0.015,5.803,1.412,1.418
15:02:11.111,0,0.0,1.55,1.47,0.015,5.803,1.414,1.418
15:02:11.300,0,0.0,1.45,1.465,0.015,5.803,1.415,1.419
15:02:11.507,0,0.0,1.27,1.426,0.015,5.803,1.416,1.420
15:02:11.714,0,0.0,1.42,1.426,0.015,5.803,1.417,1.420
15:02:11.905,0,0.0,1.5,1.441,0.015,5.803,1.418,1.421
15:02:12.112,0,0.0,1.4,1.433,0.015,5.803,1.419,1.421
15:02:12.304,0,0.0,1.42,1.429,0.015,5.803,1.419,1.422
15:02:12.512,0,0.0,1.46,1.434,0.015,5.803,1.419,1.422
15:02:12.702,0,0.0,1.53,1.454,0.015,5.803,1.419,1.422
15:02:12.910,0,0.0,1.44,1.451,0.015,5.803,1.419,1.422
15:02:13.102,0,0.0,1.16,1.392,0.015,5.803,1.418,1.421
15:02:13.308,0,0.0,1.42,1.397,0.015,5.803,1.418,1.421
15:02:13.515,0,0.0,1.42,1.402,0.015,5.803,1.417,1.420
15:02:13.706,0,0.0,1.59,1.44,0.015,5.803,1.417,1.420
15:02:13.914,0,0.0,1.45,1.443,0.015,5.803,1.417,1.420
15:02:14.104,0,0.0,1.5,1.455,0.015,5.803,1.418,1.420
15:02:14.311,0,0.0,1.54,1.471,0.015,5.803,1.418,1.420
15:02:14.503,0,0.0,1.47,1.472,0.015,5.803,1.419,1.421
15:02:14.710,0,0.0,1.53,1.483,0.015,5.803,1.419,1.421
15:02:14.917,0,0.0,1.45,1.477,0.015,5.803,1.420,1.422
15:02:15.108,0,0.0,1.56,1.494,0.015,5.803,1.421,1.423
15:02:15.314,0,0.0,1.39,1.474,0.015,5.803,1.421,1.423
15:02:15.506,0,0.0,1.36,1.452,0.015,5.803,1.421,1.423
15:02:15.712,0,0.0,1.38,1.437,0.015,5.803,1.421,1.423
15:02:15.904,0,0.0,1.42,1.434,0.015,5.803,1.421,1.423
15:02:16.111,0,0.0,1.36,1.42,0.015,5.803,1.421,1.422
15:02:16.303,0,0.0,1.38,1.412,0.015,5.803,1.421,1.422
15:02:16.509,0,0.0,1.5,1.429,0.015,5.803,1.422,1.423
15:02:16.700,0,0.0,1.34,1.411,0.015,5.803,1.423,1.423
15:02:16.906,0,0.0,1.16,1.36,0.015,5.803,1.423,1.423
15:02:17.130,0,0.0,1.28,1.345,0.015,5.803,1.423,1.423
15:02:17.335,0,0.0,1.47,1.369,0.015,5.803,1.423,1.423
15:02:17.511,0,0.0,1.53,1.401,0.015,5.803,1.423,1.423
15:02:17.702,0,0.0,1.51,1.422,0.015,5.803,1.424,1.423
15:02:17.906,0,0.0,1.41,1.421,0.015,5.803,1.424,1.423
15:02:18.113,0,0.0,1.45,1.426,0.015,5.803,1.425,1.425
15:02:18.304,0,0.0,1.16,1.372,0.015,5.803,1.424,1.425
15:02:18.511,0,0.0,1.36,1.37,0.015,5.803,1.424,1.425
15:02:18.715,0,0.0,1.49,1.394,0.015,5.803,1.424,1.425
15:02:18.903,0,0.0,1.56,1.427,0.015,5.803,1.424,1.425
15:02:19.111,0,0.0,1.45,1.432,0.015,5.803,1.425,1.426
15:02:19.302,0,0.0,1.5,1.445,0.015,5.803,1.425,1.426
15:02:19.509,0,0.0,1.45,1.446,0.015,5.803,1.425,1.426
15:02:19.701,0,0.0,1.45,1.447,0.015,5.803,1.426,1.427
15:02:19.908,0,0.0,1.46,1.449,0.015,5.803,1.426,1.428
