Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
15:13:53.705,0,7.82,6.13,5.893,0.015,7.260,5.425,5.537
15:13:53.896,0,7.23,4.38,5.515,0.015,7.260,5.428,5.537
15:13:54.104,0,7.02,5.55,5.546,0.015,7.260,5.431,5.539
15:13:54.294,0,7.01,5.26,5.492,0.015,7.260,5.432,5.539
15:13:54.501,0,7.65,5.55,5.539,0.015,7.260,5.432,5.539
15:13:54.691,0,8.34,5.55,5.584,0.015,7.260,5.434,5.543
15:13:54.911,0,7.48,5.84,5.68,0.015,7.260,5.436,5.549
15:13:55.101,0,7.38,4.67,5.44,0.015,7.260,5.435,5.543
15:13:55.291,0,4.83,5.84,5.536,0.015,7.260,5.435,5.543
15:13:55.498,0,6.82,4.67,5.328,0.015,7.260,5.433,5.543
15:13:55.702,0,5.05,1.78,4.392,0.015,7.260,5.422,5.543
15:13:55.892,0,5.12,5.26,4.63,0.015,7.260,5.413,5.539
15:13:56.099,0,4.68,4.67,4.641,0.015,7.260,5.401,5.539
15:13:56.306,0,5.61,4.67,4.663,0.015,7.260,5.390,5.537
15:13:56.495,0,5.06,4.96,4.748,0.015,7.260,5.380,5.525
15:13:56.701,0,4.61,4.96,4.802,0.015,7.260,5.371,5.513
15:13:56.924,0,6.83,4.96,4.875,0.015,7.260,5.364,5.502
15:13:57.098,0,4.21,4.96,4.888,0.015,7.260,5.355,5.493
15:13:57.306,0,5.43,6.13,5.223,0.015,7.260,5.352,5.491
15:13:57.497,0,7.53,6.13,5.497,0.015,7.260,5.352,5.493
15:13:57.703,0,7.43,4.96,5.386,0.015,7.260,5.351,5.491
15:13:57.927,0,6.21,4.67,5.21,0.015,7.260,5.348,5.491
15:13:58.117,0,7.0,5.55,5.326,0.015,7.260,5.347,5.491
15:13:58.308,0,4.24,5.84,5.445,0.015,7.260,5.348,5.491
15:13:58.499,0,4.7,5.55,5.461,0.015,7.260,5.349,5.491
15:13:58.703,0,7.14,4.38,5.201,0.015,7.260,5.346,5.486
15:13:58.894,0,6.1,5.26,5.229,0.015,7.260,5.346,5.486
15:13:59.099,0,6.51,6.13,5.486,0.015,7.260,5.350,5.489
15:13:59.306,0,6.32,4.96,5.361,0.015,7.260,5.359,5.489
15:13:59.495,0,4.2,6.13,5.546,0.015,7.260,5.369,5.493
15:13:59.700,0,4.23,5.55,5.527,0.015,7.260,5.376,5.495
15:13:59.906,0,3.79,6.13,5.66,0.015,7.260,5.386,5.504
15:14:00.097,0,4.13,4.38,5.3,0.015,7.260,5.390,5.504
15:14:00.305,0,6.76,5.26,5.31,0.015,7.260,5.397,5.504
15:14:00.495,0,6.33,5.26,5.311,0.015,7.260,5.403,5.504
15:14:00.702,0,5.04,4.38,5.062,0.015,7.260,5.405,5.504
15:14:00.924,0,6.02,5.84,5.281,0.015,7.260,5.408,5.504
15:14:01.100,0,4.53,5.55,5.34,0.015,7.260,5.411,5.504
15:14:01.303,0,5.48,5.84,5.474,0.015,7.260,5.416,5.504
15:14:01.509,0,4.61,5.84,5.557,0.015,7.260,5.426,5.513
15:14:01.699,0,4.56,6.43,5.77,0.015,7.260,5.437,5.521
15:14:01.906,0,5.85,4.38,5.405,0.015,7.260,5.443,5.521
15:14:02.113,0,3.82,6.43,5.65,0.015,7.260,5.450,5.531
15:14:02.305,0,4.22,4.96,5.448,0.015,7.260,5.458,5.531
15:14:02.496,0,4.52,4.96,5.306,0.015,7.260,5.462,5.531
15:14:02.720,0,4.76,4.67,5.131,0.015,7.260,5.462,5.531
15:14:02.893,0,4.65,4.38,4.925,0.015,7.260,5.461,5.531
