Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-03 14:51:41.864,4.72,4.59,6.84,5.1657,4.755
2026-03-03 14:51:42.690,4.77,4.59,6.84,5.152699999999999,4.755
2026-03-03 14:51:42.907,4.67,4.59,6.84,5.1423000000000005,4.73
2026-03-03 14:51:43.946,4.72,4.59,6.84,5.131,4.72
2026-03-03 14:51:50.224,5.36,4.59,6.84,5.1265,4.72
2026-03-03 14:51:50.844,5.08,4.59,6.84,5.1182,4.73
2026-03-03 14:51:50.947,5.18,4.59,6.84,5.1125,4.755
2026-03-03 14:51:51.674,5.33,4.59,6.84,5.1084,4.755
2026-03-03 14:51:52.504,5.33,4.59,6.84,5.103899999999999,4.925
2026-03-03 14:51:53.860,4.84,4.59,6.84,5.0953,4.96
2026-03-03 14:52:01.258,4.9,4.59,6.84,5.086,4.99
2026-03-03 14:52:07.644,5.26,4.59,6.84,5.0817000000000005,5.13
2026-03-03 14:52:11.191,5.15,4.59,6.84,5.0757,5.165
2026-03-03 14:52:12.126,5.11,4.59,6.84,5.0693,5.165
2026-03-03 14:52:13.168,4.99,4.59,6.84,5.0606,5.130000000000001
2026-03-03 14:52:13.288,4.88,4.59,6.84,5.0516000000000005,5.130000000000001
2026-03-03 14:52:14.108,5.03,4.59,6.84,5.0438,5.07
2026-03-03 14:52:14.617,5.12,4.59,6.84,5.0379000000000005,5.07
2026-03-03 14:52:19.622,5.3,4.59,6.84,5.033,5.07
2026-03-03 14:52:22.875,5.09,4.59,6.84,5.0283999999999995,5.1
2026-03-03 14:52:22.962,5.3,4.59,6.84,5.0258,5.115
2026-03-03 14:52:23.177,5.23,4.59,6.84,5.0322000000000005,5.115
2026-03-03 14:52:27.363,5.3,4.59,6.84,5.0356,5.115
2026-03-03 14:52:27.575,4.82,4.59,6.84,5.03,5.105
2026-03-03 14:52:27.879,4.84,4.59,6.84,5.0282,5.105
2026-03-03 14:52:27.978,5.15,4.59,6.84,5.0319,5.135
2026-03-03 14:52:29.122,5.38,4.59,6.84,5.0392,5.19
2026-03-03 14:52:34.367,5.2,4.59,6.84,5.043,5.215
2026-03-03 14:52:34.579,5.45,4.59,6.84,5.0499,5.215
2026-03-03 14:52:40.015,4.79,4.59,6.84,5.0488,5.215
2026-03-03 14:52:45.904,4.86,4.59,6.84,5.048,5.175000000000001
2026-03-03 14:52:46.006,5.31,4.59,6.84,5.051,5.175000000000001
2026-03-03 14:52:46.627,4.69,4.59,6.84,5.0457,5.005000000000001
2026-03-03 14:52:46.739,4.62,4.59,6.84,5.0439,5.005000000000001
2026-03-03 14:52:47.023,4.77,4.59,6.84,5.041399999999999,5.005000000000001
2026-03-03 14:52:47.243,4.73,4.59,6.84,5.0401,4.825
2026-03-03 14:52:47.355,5.31,4.59,6.84,5.0429,4.825
2026-03-03 14:52:47.551,4.67,4.59,6.84,5.0366,4.779999999999999
2026-03-03 14:52:47.768,4.78,4.59,6.84,5.0306,4.775
2026-03-03 14:52:48.187,4.96,4.59,6.84,5.027200000000001,4.775
2026-03-03 14:52:48.811,4.57,4.57,6.84,5.0188999999999995,4.75
2026-03-03 14:52:48.911,4.7,4.57,6.84,5.0139,4.715
2026-03-03 14:52:49.114,4.83,4.57,6.84,5.0107,4.75
2026-03-03 14:52:49.415,4.62,4.57,6.84,5.0027,4.75
2026-03-03 14:52:49.526,4.67,4.57,6.84,4.9952,4.715
2026-03-03 14:52:49.625,4.67,4.57,6.84,4.989,4.6850000000000005
2026-03-03 14:52:49.958,5.56,4.57,6.84,4.9872000000000005,4.6850000000000005
2026-03-03 14:52:50.156,4.6,4.57,6.84,4.9834,4.6850000000000005
2026-03-03 14:52:50.568,4.76,4.57,6.84,4.9764,4.6850000000000005
2026-03-03 14:52:50.667,5.38,4.57,6.84,4.9839,4.6850000000000005
2026-03-03 14:52:50.880,5.24,4.57,6.84,4.989599999999999,4.73
2026-03-03 14:52:50.993,5.03,4.57,6.84,4.9902,4.795
2026-03-03 14:52:51.095,5.3,4.57,6.84,4.9946,4.895
2026-03-03 14:52:51.196,5.13,4.57,6.84,4.9938,5.08
2026-03-03 14:52:51.311,4.98,4.57,6.84,4.9904,5.08
2026-03-03 14:52:51.403,5.19,4.57,6.84,4.989599999999999,5.16
2026-03-03 14:52:51.509,4.67,4.57,6.84,4.9838,5.08
2026-03-03 14:52:52.113,5.0,4.57,6.84,4.9807,5.08
2026-03-03 14:52:52.230,5.37,4.57,6.84,4.9828,5.16
2026-03-03 14:52:52.320,5.28,4.57,6.84,4.9833,5.16
2026-03-03 14:52:52.627,4.71,4.57,6.84,4.9778,5.08
2026-03-03 14:52:52.843,4.97,4.57,6.84,4.9757,5.0649999999999995
2026-03-03 14:52:53.061,4.98,4.57,6.84,4.9732,4.99
2026-03-03 14:52:53.674,4.9,4.57,6.84,4.97,4.98
2026-03-03 14:52:53.990,5.18,4.57,6.84,4.9722,4.99
2026-03-03 14:52:54.725,5.02,4.57,6.84,4.9695,4.99
2026-03-03 14:52:55.238,5.05,4.57,6.84,4.9698,5.01
2026-03-03 14:52:55.869,4.8,4.57,6.84,4.9706,5.0
2026-03-03 14:52:55.983,4.79,4.57,6.84,4.9657,4.975
2026-03-03 14:52:56.072,5.14,4.57,6.84,4.965,4.975
2026-03-03 14:52:56.172,4.87,4.57,6.84,4.9613,4.975
2026-03-03 14:52:56.272,4.8,4.57,6.84,4.9571,4.94
2026-03-03 14:52:56.386,4.7,4.57,6.84,4.9573,4.885
2026-03-03 14:52:57.104,5.03,4.57,6.84,4.9617,4.945
2026-03-03 14:52:57.302,5.29,4.57,6.84,4.9681,4.945
2026-03-03 14:52:57.412,5.23,4.57,6.84,4.9726,4.95
2026-03-03 14:52:57.624,6.31,4.57,6.84,4.987,4.95
2026-03-03 14:52:57.725,5.27,4.57,6.84,4.9877,5.085
2026-03-03 14:52:57.942,4.87,4.57,6.84,4.9903,5.085
2026-03-03 14:52:58.042,6.98,4.57,6.98,5.0132,5.130000000000001
2026-03-03 14:52:58.152,5.17,4.57,6.98,5.018,5.2
2026-03-03 14:52:58.241,5.13,4.57,6.98,5.0231,5.2
2026-03-03 14:52:58.356,5.15,4.57,6.98,5.0234,5.2
