Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-03 10:27:02.192,10.12,10.05,23.32,10.1171,10.11
2026-03-03 10:27:02.306,10.09,10.05,23.32,10.1166,10.1
2026-03-03 10:27:02.415,10.09,10.05,23.32,10.1164,10.09
2026-03-03 10:27:02.508,10.09,10.05,23.32,10.116,10.09
2026-03-03 10:27:02.630,10.15,10.05,23.32,10.1163,10.09
2026-03-03 10:27:03.026,10.11,10.05,23.32,10.1165,10.09
2026-03-03 10:27:03.133,10.09,10.05,23.32,10.1164,10.09
2026-03-03 10:27:03.235,10.11,10.05,23.32,10.1164,10.09
2026-03-03 10:27:03.345,10.11,10.05,23.32,10.1164,10.1
2026-03-03 10:27:03.439,10.1,10.05,23.32,10.1161,10.105
2026-03-03 10:27:03.642,10.07,10.05,23.32,10.1158,10.094999999999999
2026-03-03 10:27:03.761,10.1,10.05,23.32,10.1157,10.1
2026-03-03 10:27:03.952,10.12,10.05,23.32,10.1158,10.105
2026-03-03 10:27:04.065,10.13,10.05,23.32,10.1158,10.11
2026-03-03 10:27:04.264,10.12,10.05,23.32,10.1157,10.11
2026-03-03 10:27:04.372,10.12,10.05,23.32,10.115599999999999,10.11
2026-03-03 10:27:04.475,10.13,10.05,23.32,10.1157,10.114999999999998
2026-03-03 10:27:04.682,10.09,10.05,23.32,10.1153,10.114999999999998
2026-03-03 10:27:04.790,10.11,10.05,23.32,10.115499999999999,10.114999999999998
2026-03-03 10:27:04.891,10.1,10.05,23.32,10.1152,10.114999999999998
2026-03-03 10:27:04.991,10.14,10.05,23.32,10.115499999999999,10.12
2026-03-03 10:27:05.094,10.14,10.05,23.32,10.1157,10.12
2026-03-03 10:27:05.196,10.14,10.05,23.32,10.1157,10.125
2026-03-03 10:27:05.301,10.14,10.05,23.32,10.116,10.125
2026-03-03 10:27:05.412,10.14,10.05,23.32,10.1163,10.135000000000002
2026-03-03 10:27:05.513,10.12,10.05,23.32,10.1164,10.135000000000002
2026-03-03 10:27:05.615,10.11,10.05,23.32,10.1164,10.129999999999999
2026-03-03 10:27:05.726,10.14,10.05,23.32,10.1166,10.14
2026-03-03 10:27:05.822,10.18,10.05,23.32,10.1171,10.14
2026-03-03 10:27:05.920,10.19,10.05,23.32,10.1177,10.14
2026-03-03 10:27:06.018,10.18,10.05,23.32,10.1183,10.14
2026-03-03 10:27:06.236,10.14,10.05,23.32,10.1183,10.14
2026-03-03 10:27:06.335,10.16,10.05,23.32,10.119,10.14
2026-03-03 10:27:06.437,10.19,10.05,23.32,10.1197,10.15
2026-03-03 10:27:06.547,10.14,10.05,23.32,10.1198,10.15
2026-03-03 10:27:06.654,10.18,10.05,23.32,10.1204,10.17
2026-03-03 10:27:06.858,10.15,10.05,23.32,10.1205,10.17
2026-03-03 10:27:06.961,10.21,10.05,23.32,10.1209,10.18
2026-03-03 10:27:07.159,10.2,10.05,23.32,10.1219,10.18
2026-03-03 10:27:07.373,10.2,10.05,23.32,10.1226,10.18
2026-03-03 10:27:07.478,10.77,10.05,23.32,10.129299999999999,10.184999999999999
2026-03-03 10:27:07.595,10.17,10.05,23.32,10.1297,10.184999999999999
2026-03-03 10:27:07.690,10.26,10.05,23.32,10.131,10.195
2026-03-03 10:27:07.788,10.17,10.05,23.32,10.1318,10.19
2026-03-03 10:27:07.894,10.15,10.05,23.32,10.1324,10.19
2026-03-03 10:27:07.996,10.1,10.05,23.32,10.1319,10.184999999999999
2026-03-03 10:27:08.103,10.14,10.05,23.32,10.1324,10.184999999999999
2026-03-03 10:27:08.197,10.16,10.05,23.32,10.133099999999999,10.17
2026-03-03 10:27:08.307,10.15,10.05,23.32,10.1333,10.165
2026-03-03 10:27:23.618,10.11,10.01,23.32,10.1324,10.11
2026-03-03 10:27:23.725,10.11,10.01,23.32,10.1332,10.11
2026-03-03 10:27:23.826,10.1,10.01,23.32,10.134,10.11
2026-03-03 10:27:23.943,10.14,10.01,23.32,10.1349,10.11
2026-03-03 10:27:24.033,10.13,10.01,23.32,10.1358,10.11
2026-03-03 10:27:24.141,10.12,10.01,23.32,10.1364,10.114999999999998
2026-03-03 10:27:24.247,10.12,10.01,23.32,10.1375,10.114999999999998
2026-03-03 10:27:24.444,10.12,10.01,23.32,10.1375,10.12
2026-03-03 10:27:24.554,10.09,10.01,23.32,10.1375,10.114999999999998
2026-03-03 10:27:24.654,10.11,10.01,23.32,10.138,10.114999999999998
2026-03-03 10:27:24.854,10.09,10.01,23.32,10.1381,10.114999999999998
2026-03-03 10:27:25.064,10.13,10.01,23.32,10.1384,10.12
2026-03-03 10:27:25.170,10.09,10.01,23.32,10.1381,10.12
2026-03-03 10:27:25.372,10.09,10.01,23.32,10.1378,10.114999999999998
2026-03-03 10:27:25.487,10.12,10.01,23.32,10.137599999999999,10.114999999999998
2026-03-03 10:27:25.687,10.11,10.01,23.32,10.1378,10.11
2026-03-03 10:27:25.785,10.11,10.01,23.32,10.1381,10.11
2026-03-03 10:27:26.006,10.09,10.01,23.32,10.1378,10.1
2026-03-03 10:27:26.098,10.1,10.01,23.32,10.138,10.105
2026-03-03 10:27:26.201,10.11,10.01,23.32,10.1379,10.105
2026-03-03 10:27:26.410,10.11,10.01,23.32,10.1378,10.11
2026-03-03 10:27:26.515,10.1,10.01,23.32,10.1374,10.105
2026-03-03 10:27:26.631,10.11,10.01,23.32,10.1373,10.11
2026-03-03 10:27:26.728,10.14,10.01,23.32,10.1375,10.11
2026-03-03 10:27:26.820,10.08,10.01,23.32,10.1373,10.11
2026-03-03 10:27:26.928,10.12,10.01,23.32,10.137,10.11
2026-03-03 10:27:27.130,10.13,10.01,23.32,10.1379,10.11
2026-03-03 10:27:27.333,10.11,10.01,23.32,10.137599999999999,10.11
2026-03-03 10:27:27.450,10.11,10.01,23.32,10.1372,10.11
2026-03-03 10:27:27.549,10.11,10.01,23.32,10.1364,10.11
2026-03-03 10:27:27.647,10.11,10.01,23.32,10.135299999999999,10.11
2026-03-03 10:27:27.962,10.09,10.01,23.32,10.1342,10.11
2026-03-03 10:27:28.059,10.11,10.01,23.32,10.133099999999999,10.11
2026-03-03 10:27:28.175,10.11,10.01,23.32,10.132100000000001,10.11
2026-03-03 10:27:28.373,10.12,10.01,23.32,10.1313,10.11
2026-03-03 10:27:28.585,10.13,10.01,23.32,10.1303,10.11
2026-03-03 10:27:28.783,10.1,10.01,23.32,10.1291,10.11
2026-03-03 10:27:29.095,10.12,10.01,23.32,10.1288,10.11
2026-03-03 10:27:29.204,10.11,10.01,23.32,10.129199999999999,10.11
2026-03-03 10:27:29.307,10.1,10.01,23.32,10.1278,10.11
2026-03-03 10:27:29.502,10.14,10.01,23.32,10.1278,10.11
2026-03-03 10:27:29.620,10.12,10.01,23.32,10.1273,10.114999999999998
2026-03-03 10:27:29.712,10.11,10.01,23.32,10.126999999999999,10.114999999999998
2026-03-03 10:27:29.823,10.11,10.01,23.32,10.1267,10.114999999999998
