Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-02 11:44:15.730,0.91,0.86,1.29,0.9468,0.925
2026-03-02 11:44:15.846,0.91,0.86,1.29,0.9465,0.915
2026-03-02 11:44:15.947,0.95,0.86,1.29,0.9469,0.915
2026-03-02 11:44:16.046,0.94,0.86,1.29,0.9466,0.915
2026-03-02 11:44:16.143,0.94,0.86,1.29,0.9465,0.9299999999999999
2026-03-02 11:44:16.255,0.96,0.86,1.29,0.9465,0.94
2026-03-02 11:44:16.366,0.97,0.86,1.29,0.9466,0.94
2026-03-02 11:44:16.473,0.98,0.86,1.29,0.9473999999999999,0.94
2026-03-02 11:44:16.564,0.97,0.86,1.29,0.9479,0.945
2026-03-02 11:44:16.665,0.97,0.86,1.29,0.9484999999999999,0.955
2026-03-02 11:44:16.778,0.96,0.86,1.29,0.9490999999999999,0.96
2026-03-02 11:44:16.879,0.93,0.86,1.29,0.9490999999999999,0.96
2026-03-02 11:44:16.983,0.94,0.86,1.29,0.9492,0.96
2026-03-02 11:44:17.083,0.94,0.86,1.29,0.9495,0.96
2026-03-02 11:44:17.186,0.94,0.86,1.29,0.9497,0.96
2026-03-02 11:44:17.304,0.97,0.86,1.29,0.9498000000000001,0.965
2026-03-02 11:44:17.403,0.94,0.86,1.29,0.9495,0.95
2026-03-02 11:44:17.505,0.94,0.86,1.29,0.9492999999999999,0.94
2026-03-02 11:44:17.601,0.95,0.86,1.29,0.9495,0.94
2026-03-02 11:44:17.723,0.94,0.86,1.29,0.9494,0.94
2026-03-02 11:44:17.816,0.95,0.86,1.29,0.9492,0.94
2026-03-02 11:44:17.917,0.93,0.86,1.29,0.949,0.94
2026-03-02 11:44:18.020,0.93,0.86,1.29,0.9488,0.94
2026-03-02 11:44:18.127,0.93,0.86,1.29,0.9486,0.94
2026-03-02 11:44:18.226,0.95,0.86,1.29,0.9484,0.94
2026-03-02 11:44:18.329,0.94,0.86,1.29,0.9481999999999999,0.94
2026-03-02 11:44:18.439,0.96,0.86,1.29,0.948,0.94
2026-03-02 11:44:18.543,0.96,0.86,1.29,0.9481,0.945
2026-03-02 11:44:18.647,0.96,0.86,1.29,0.9478,0.945
2026-03-02 11:44:18.749,0.95,0.86,1.29,0.9475,0.95
2026-03-02 11:44:18.850,0.94,0.86,1.29,0.9470000000000001,0.945
2026-03-02 11:44:18.956,0.96,0.86,1.29,0.9466,0.95
2026-03-02 11:44:19.058,0.98,0.86,1.29,0.9466,0.955
2026-03-02 11:44:19.159,0.92,0.86,1.29,0.9458,0.955
2026-03-02 11:44:19.269,0.98,0.86,1.29,0.9456,0.96
2026-03-02 11:44:19.367,0.94,0.86,1.29,0.9451999999999999,0.96
2026-03-02 11:44:19.477,0.95,0.86,1.29,0.945,0.955
2026-03-02 11:44:19.584,0.9,0.86,1.29,0.9442999999999999,0.95
2026-03-02 11:44:19.684,0.95,0.86,1.29,0.9445,0.95
2026-03-02 11:44:19.786,0.96,0.86,1.29,0.9445999999999999,0.95
2026-03-02 11:44:19.886,0.93,0.86,1.29,0.9440999999999999,0.95
2026-03-02 11:44:20.090,0.92,0.86,1.29,0.9442999999999999,0.945
2026-03-02 11:44:20.198,0.9,0.86,1.29,0.9442,0.935
2026-03-02 11:44:20.300,0.95,0.86,1.29,0.9439,0.945
2026-03-02 11:44:20.403,0.9,0.86,1.29,0.9431,0.935
2026-03-02 11:44:20.499,0.95,0.86,1.29,0.943,0.94
2026-03-02 11:44:20.607,0.97,0.86,1.29,0.9431,0.94
2026-03-02 11:44:20.719,0.9,0.86,1.29,0.9429,0.94
2026-03-02 11:44:20.827,0.93,0.86,1.29,0.9428,0.93
2026-03-02 11:44:20.924,0.97,0.86,1.29,0.9427,0.93
2026-03-02 11:44:21.028,0.93,0.86,1.29,0.9422,0.93
2026-03-02 11:44:21.129,0.92,0.86,1.29,0.9417,0.93
2026-03-02 11:44:21.234,0.91,0.86,1.29,0.9412999999999999,0.93
2026-03-02 11:44:21.342,0.93,0.86,1.29,0.9409000000000001,0.93
2026-03-02 11:44:21.451,0.92,0.86,1.29,0.9403999999999999,0.93
2026-03-02 11:44:21.541,0.9,0.86,1.29,0.94,0.925
2026-03-02 11:44:21.656,0.96,0.86,1.29,0.9401999999999999,0.925
2026-03-02 11:44:21.754,0.97,0.86,1.29,0.9401999999999999,0.93
2026-03-02 11:44:21.861,0.93,0.86,1.29,0.9401,0.93
2026-03-02 11:44:21.963,0.93,0.86,1.29,0.9401999999999999,0.93
2026-03-02 11:44:22.064,0.86,0.86,1.29,0.9395,0.925
2026-03-02 11:44:22.162,0.94,0.86,1.29,0.9395,0.93
2026-03-02 11:44:22.279,0.91,0.86,1.29,0.9395,0.93
2026-03-02 11:44:22.381,0.96,0.86,1.29,0.9401,0.93
2026-03-02 11:44:22.480,0.97,0.86,1.29,0.9403999999999999,0.935
2026-03-02 11:44:22.591,0.95,0.86,1.29,0.9403,0.945
2026-03-02 11:44:22.793,0.94,0.86,1.29,0.9398000000000001,0.94
2026-03-02 11:44:22.893,0.93,0.86,1.29,0.9398000000000001,0.935
2026-03-02 11:44:22.992,0.95,0.86,1.29,0.94,0.94
2026-03-02 11:44:23.101,0.95,0.86,1.29,0.9403,0.945
2026-03-02 11:44:23.203,0.93,0.86,1.29,0.94,0.945
2026-03-02 11:44:23.312,0.93,0.86,1.29,0.9395,0.945
2026-03-02 11:44:23.413,0.92,0.86,1.29,0.9392,0.945
2026-03-02 11:44:23.515,0.92,0.86,1.29,0.9390999999999999,0.935
2026-03-02 11:44:23.623,0.92,0.86,1.29,0.9386,0.93
2026-03-02 11:44:23.720,0.93,0.86,1.29,0.9384999999999999,0.93
2026-03-02 11:44:23.820,0.92,0.86,1.29,0.9390999999999999,0.93
2026-03-02 11:44:23.929,0.93,0.86,1.29,0.9387000000000001,0.93
2026-03-02 11:44:24.029,0.91,0.86,1.29,0.9386,0.925
2026-03-02 11:44:24.140,0.92,0.86,1.29,0.9381999999999999,0.92
2026-03-02 11:44:24.239,0.95,0.86,1.29,0.9381999999999999,0.92
2026-03-02 11:44:24.352,0.95,0.86,1.29,0.9384,0.92
2026-03-02 11:44:24.446,0.94,0.86,1.29,0.9384,0.925
2026-03-02 11:44:24.558,0.91,0.86,1.29,0.9381,0.925
2026-03-02 11:44:24.763,0.97,0.86,1.29,0.9386,0.93
2026-03-02 11:44:24.973,0.96,0.86,1.29,0.9387000000000001,0.935
2026-03-02 11:44:25.167,0.9,0.86,1.29,0.9386,0.935
2026-03-02 11:44:25.274,0.94,0.86,1.29,0.9384999999999999,0.94
2026-03-02 11:44:25.374,0.93,0.86,1.29,0.9383,0.94
2026-03-02 11:44:25.485,0.94,0.86,1.29,0.9386,0.94
2026-03-02 11:44:25.583,0.97,0.86,1.29,0.9388,0.94
2026-03-02 11:44:25.692,0.97,0.86,1.29,0.9389,0.94
2026-03-02 11:44:25.792,0.96,0.86,1.29,0.9392,0.95
2026-03-02 11:44:25.999,0.95,0.86,1.29,0.9390999999999999,0.955
2026-03-02 11:44:26.111,0.91,0.86,1.29,0.9392,0.945
2026-03-02 11:44:26.208,0.91,0.86,1.29,0.9392,0.94
2026-03-02 11:44:26.319,0.93,0.86,1.29,0.9389,0.94
2026-03-02 11:44:26.419,0.88,0.86,1.29,0.938,0.935
2026-03-02 11:44:26.517,0.9,0.86,1.29,0.9379000000000001,0.935
2026-03-02 11:44:26.632,0.94,0.86,1.29,0.9381,0.935
2026-03-02 11:44:26.732,0.96,0.86,1.29,0.9386,0.935
2026-03-02 11:44:26.936,0.95,0.86,1.29,0.9390000000000001,0.935
2026-03-02 11:44:27.037,0.96,0.86,1.29,0.9390999999999999,0.935
2026-03-02 11:44:27.145,0.93,0.86,1.29,0.9390000000000001,0.93
2026-03-02 11:44:27.245,0.95,0.86,1.29,0.9390999999999999,0.935
2026-03-02 11:44:27.353,0.95,0.86,1.29,0.9390000000000001,0.945
2026-03-02 11:44:27.452,0.94,0.86,1.29,0.9387000000000001,0.945
2026-03-02 11:44:27.561,0.98,0.86,1.29,0.9387000000000001,0.95
2026-03-02 11:44:27.662,0.98,0.86,1.29,0.9388,0.95
2026-03-02 11:44:27.766,0.96,0.86,1.29,0.9387000000000001,0.955
2026-03-02 11:44:27.872,0.95,0.86,1.29,0.9386,0.95
2026-03-02 11:44:27.969,0.96,0.86,1.29,0.9389,0.955
2026-03-02 11:44:28.079,0.9,0.86,1.29,0.9384999999999999,0.95
2026-03-02 11:44:28.181,0.94,0.86,1.29,0.9384999999999999,0.95
2026-03-02 11:44:28.294,0.93,0.86,1.29,0.9384,0.95
2026-03-02 11:44:28.487,0.95,0.86,1.29,0.9381999999999999,0.95
2026-03-02 11:44:28.589,0.91,0.86,1.29,0.9379000000000001,0.95
2026-03-02 11:44:28.692,0.94,0.86,1.29,0.9379000000000001,0.945
2026-03-02 11:44:28.806,0.89,0.86,1.29,0.9373,0.94
2026-03-02 11:44:28.905,0.91,0.86,1.29,0.937,0.935
2026-03-02 11:44:29.018,0.88,0.86,1.29,0.9362999999999999,0.92
2026-03-02 11:44:29.107,0.91,0.86,1.29,0.9361,0.91
2026-03-02 11:44:29.217,0.94,0.86,1.29,0.9362,0.92
2026-03-02 11:44:29.316,0.96,0.86,1.29,0.9365000000000001,0.92
2026-03-02 11:44:29.426,0.92,0.86,1.29,0.9362,0.915
2026-03-02 11:44:29.639,0.95,0.86,1.29,0.9362999999999999,0.915
2026-03-02 11:44:29.730,0.97,0.86,1.29,0.9364,0.9299999999999999
2026-03-02 11:44:29.847,0.97,0.86,1.29,0.9365000000000001,0.9299999999999999
2026-03-02 11:44:29.935,0.94,0.86,1.29,0.9362999999999999,0.94
2026-03-02 11:44:30.051,0.93,0.86,1.29,0.9361,0.94
2026-03-02 11:44:30.150,0.95,0.86,1.29,0.9362,0.945
2026-03-02 11:44:30.356,0.95,0.86,1.29,0.9361,0.95
2026-03-02 11:44:30.455,0.98,0.86,1.29,0.9361,0.95
2026-03-02 11:44:30.571,0.92,0.86,1.29,0.9361,0.95
2026-03-02 11:44:30.670,0.93,0.86,1.29,0.9356,0.95
2026-03-02 11:44:30.777,0.92,0.86,1.29,0.9354,0.945
2026-03-02 11:44:30.873,0.89,0.86,1.29,0.9348000000000001,0.935
2026-03-02 11:44:30.979,0.95,0.86,1.29,0.9353,0.935
2026-03-02 11:44:31.081,0.97,0.86,1.29,0.9355,0.94
2026-03-02 11:44:31.192,0.93,0.86,1.29,0.9351999999999999,0.94
2026-03-02 11:44:31.286,0.95,0.86,1.29,0.9354,0.94
2026-03-02 11:44:31.398,0.95,0.86,1.29,0.9357,0.94
2026-03-02 11:44:31.506,0.96,0.86,1.29,0.9362999999999999,0.94
2026-03-02 11:44:31.609,0.89,0.86,1.29,0.9357,0.94
2026-03-02 11:44:31.913,0.95,0.86,1.29,0.9362,0.95
2026-03-02 11:44:32.015,0.95,0.86,1.29,0.9362,0.95
2026-03-02 11:44:32.113,0.92,0.86,1.29,0.9357,0.95
2026-03-02 11:44:32.224,0.91,0.86,1.29,0.9358,0.95
2026-03-02 11:44:32.328,0.93,0.86,1.29,0.9358,0.94
2026-03-02 11:44:32.434,0.93,0.86,1.29,0.9354,0.94
2026-03-02 11:44:32.538,0.97,0.86,1.29,0.9358,0.94
2026-03-02 11:44:33.048,0.92,0.86,1.29,0.9358,0.93
2026-03-02 11:44:33.161,0.97,0.86,1.29,0.9364,0.93
2026-03-02 11:44:33.265,0.9,0.86,1.29,0.9361,0.93
2026-03-02 11:44:33.356,0.95,0.86,1.29,0.9364,0.93
