Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-03-02 11:56:47.456,4.98,0.61,5.76,5.1645,5.0
2026-03-02 11:56:47.564,5.03,0.61,5.76,5.1579999999999995,5.0
2026-03-02 11:56:47.655,5.02,0.61,5.76,5.1545000000000005,5.015
2026-03-02 11:56:47.770,4.98,0.61,5.76,5.1512,5.0
2026-03-02 11:56:47.875,4.99,0.61,5.76,5.145499999999999,4.99
2026-03-02 11:56:47.976,5.0,0.61,5.76,5.141,4.995
2026-03-02 11:56:48.072,5.01,0.61,5.76,5.136699999999999,4.995
2026-03-02 11:56:48.178,4.96,0.61,5.76,5.1296,4.99
2026-03-02 11:56:48.278,4.92,0.61,5.76,5.1281,4.99
2026-03-02 11:56:48.493,4.98,0.61,5.76,5.1277,4.985
2026-03-02 11:56:48.702,5.02,0.61,5.76,5.126900000000001,4.995
2026-03-02 11:56:48.795,4.98,0.61,5.76,5.1263,4.985
2026-03-02 11:56:49.005,5.01,0.61,5.76,5.1264,4.985
2026-03-02 11:56:49.218,5.01,0.61,5.76,5.1236,4.995
2026-03-02 11:56:49.312,4.95,0.61,5.76,5.118,4.99
2026-03-02 11:56:49.423,4.96,0.61,5.76,5.111000000000001,4.98
2026-03-02 11:56:49.524,4.92,0.61,5.76,5.1074,4.970000000000001
2026-03-02 11:56:49.635,5.0,0.61,5.76,5.1006,4.98
2026-03-02 11:56:49.726,4.95,0.61,5.76,5.0943000000000005,4.98
2026-03-02 11:56:49.848,4.96,0.61,5.76,5.0883,4.970000000000001
2026-03-02 11:56:49.936,4.92,0.61,5.76,5.0867,4.96
2026-03-02 11:56:50.051,4.93,0.61,5.76,5.0858,4.955
2026-03-02 11:56:50.143,4.97,0.61,5.76,5.0851999999999995,4.955
2026-03-02 11:56:50.256,4.94,0.61,5.76,5.084,4.95
2026-03-02 11:56:50.354,4.92,0.61,5.76,5.083,4.945
