Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:40:41.722,3.07,0.4,8.4,2.8901,3.07
2026-02-27 11:40:41.830,3.07,0.4,8.4,2.9168000000000003,3.07
2026-02-27 11:40:41.943,3.02,0.4,8.4,2.9425,3.065
2026-02-27 11:40:42.042,3.06,0.4,8.4,2.9671,3.06
2026-02-27 11:40:42.144,3.08,0.4,8.4,2.9899,3.065
2026-02-27 11:40:42.245,3.05,0.4,8.4,3.0114,3.065
2026-02-27 11:40:42.355,3.04,0.4,8.4,3.032,3.065
2026-02-27 11:40:42.555,3.06,0.4,8.4,3.0515,3.06
2026-02-27 11:40:42.763,3.05,0.4,8.4,3.0694,3.06
2026-02-27 11:40:42.975,3.07,0.4,8.4,3.0850999999999997,3.06
2026-02-27 11:40:43.277,3.08,0.4,8.4,3.1007,3.06
2026-02-27 11:40:43.490,3.08,0.4,8.4,3.1146,3.06
2026-02-27 11:40:43.592,3.09,0.4,8.4,3.1252999999999997,3.065
2026-02-27 11:40:43.692,3.05,0.4,8.4,3.1294999999999997,3.065
2026-02-27 11:40:43.802,3.11,0.4,8.4,3.1364,3.065
2026-02-27 11:40:43.907,3.09,0.4,8.4,3.1375,3.075
2026-02-27 11:40:44.004,3.08,0.4,8.4,3.1386000000000003,3.08
2026-02-27 11:40:44.112,3.06,0.4,8.4,3.1394,3.08
2026-02-27 11:40:44.215,3.07,0.4,8.4,3.1396999999999995,3.08
2026-02-27 11:40:44.314,3.08,0.4,8.4,3.1399,3.08
2026-02-27 11:40:44.420,3.04,0.4,8.4,3.1399,3.08
2026-02-27 11:40:44.523,3.05,0.4,8.4,3.14,3.075
2026-02-27 11:40:44.627,3.1,0.4,8.4,3.1401999999999997,3.075
2026-02-27 11:40:44.733,3.08,0.4,8.4,3.1408,3.08
2026-02-27 11:40:44.832,3.09,0.4,8.4,3.1411000000000002,3.08
2026-02-27 11:40:44.937,3.08,0.4,8.4,3.1406,3.08
2026-02-27 11:40:45.041,3.06,0.4,8.4,3.1396999999999995,3.075
2026-02-27 11:40:45.141,3.07,0.4,8.4,3.1395999999999997,3.075
2026-02-27 11:40:45.259,3.07,0.4,8.4,3.139,3.075
2026-02-27 11:40:45.359,3.07,0.4,8.4,3.1396999999999995,3.07
2026-02-27 11:40:45.464,3.06,0.4,8.4,3.1398,3.07
2026-02-27 11:40:45.569,3.07,0.4,8.4,3.1396999999999995,3.07
2026-02-27 11:40:45.672,3.09,0.4,8.4,3.1398,3.07
2026-02-27 11:40:45.778,3.04,0.4,8.4,3.1395,3.07
2026-02-27 11:40:45.970,3.09,0.4,8.4,3.1394,3.07
2026-02-27 11:40:46.085,3.07,0.4,8.4,3.1338999999999997,3.07
2026-02-27 11:40:46.183,3.08,0.4,8.4,3.133,3.07
2026-02-27 11:40:46.282,3.1,0.4,8.4,3.1319999999999997,3.07
2026-02-27 11:40:46.387,3.06,0.4,8.4,3.1325,3.07
2026-02-27 11:40:46.798,3.09,0.4,8.4,3.1313999999999997,3.075
2026-02-27 11:40:46.902,3.05,0.4,8.4,3.13,3.075
2026-02-27 11:40:47.014,3.06,0.4,8.4,3.1296999999999997,3.075
2026-02-27 11:40:47.110,3.08,0.4,8.4,3.1298000000000004,3.075
2026-02-27 11:40:47.219,3.08,0.4,8.4,3.1294,3.08
2026-02-27 11:40:47.323,3.07,0.4,8.4,3.1302999999999996,3.075
2026-02-27 11:40:47.423,3.05,0.4,8.4,3.1288,3.075
2026-02-27 11:40:47.528,3.07,0.4,8.4,3.1264,3.07
2026-02-27 11:40:47.642,3.06,0.4,8.4,3.1236,3.065
2026-02-27 11:40:47.742,3.07,0.4,8.4,3.1233,3.07
2026-02-27 11:40:47.840,3.09,0.4,8.4,3.1210000000000004,3.07
2026-02-27 11:40:47.953,3.08,0.4,8.4,3.1185,3.07
2026-02-27 11:40:48.153,3.05,0.4,8.4,3.1154,3.07
2026-02-27 11:40:48.260,3.06,0.4,8.4,3.1123000000000003,3.07
2026-02-27 11:40:48.459,3.07,0.4,8.4,3.1086,3.07
2026-02-27 11:40:48.574,3.08,0.4,8.4,3.105,3.07
2026-02-27 11:40:48.768,3.09,0.4,8.4,3.1029,3.07
2026-02-27 11:40:48.972,3.09,0.4,8.4,3.1,3.075
2026-02-27 11:40:49.075,3.07,0.4,8.4,3.096,3.075
2026-02-27 11:40:49.180,3.08,0.4,8.4,3.0923000000000003,3.08
2026-02-27 11:40:49.282,3.07,0.4,8.4,3.0886,3.075
2026-02-27 11:40:49.392,3.06,0.4,8.4,3.0837,3.07
2026-02-27 11:40:49.490,3.07,0.4,8.4,3.0806999999999998,3.07
2026-02-27 11:40:49.591,3.05,0.4,8.4,3.077,3.07
2026-02-27 11:40:49.704,3.05,0.4,8.4,3.0737,3.07
2026-02-27 11:40:49.813,3.06,0.4,8.4,3.0715,3.07
2026-02-27 11:40:49.917,3.06,0.4,8.4,3.0702999999999996,3.065
2026-02-27 11:40:50.011,3.08,0.4,8.4,3.0696999999999997,3.065
2026-02-27 11:40:50.118,3.07,0.4,8.4,3.0688,3.065
2026-02-27 11:40:50.218,3.06,0.4,8.4,3.0682,3.06
2026-02-27 11:40:50.328,3.06,0.4,8.4,3.0682,3.06
2026-02-27 11:40:50.440,3.05,0.4,8.4,3.0683,3.06
2026-02-27 11:40:50.542,3.09,0.4,8.4,3.0688,3.06
2026-02-27 11:40:50.738,3.08,0.4,8.4,3.0690999999999997,3.06
2026-02-27 11:40:51.254,3.06,0.4,8.4,3.069,3.06
2026-02-27 11:40:51.357,3.07,0.4,8.4,3.0694,3.065
2026-02-27 11:40:51.456,3.08,0.4,8.4,3.0696999999999997,3.07
2026-02-27 11:40:51.556,3.05,0.4,8.4,3.0698000000000003,3.065
2026-02-27 11:40:51.669,3.08,0.4,8.4,3.0699,3.065
2026-02-27 11:40:51.771,3.06,0.4,8.4,3.0694999999999997,3.065
2026-02-27 11:40:51.873,3.07,0.4,8.4,3.0694999999999997,3.07
2026-02-27 11:40:51.978,3.07,0.4,8.4,3.0693,3.07
2026-02-27 11:40:52.078,3.05,0.4,8.4,3.0690999999999997,3.07
2026-02-27 11:40:52.192,3.05,0.4,8.4,3.0688999999999997,3.065
2026-02-27 11:40:52.290,3.05,0.4,8.4,3.0687,3.065
2026-02-27 11:40:52.394,3.05,0.4,8.4,3.0687,3.0549999999999997
2026-02-27 11:40:52.499,3.05,0.4,8.4,3.0687,3.05
2026-02-27 11:40:52.603,3.05,0.4,8.4,3.0686,3.05
2026-02-27 11:40:52.711,3.07,0.4,8.4,3.0687,3.05
2026-02-27 11:40:52.811,3.08,0.4,8.4,3.0683,3.05
2026-02-27 11:40:52.917,3.08,0.4,8.4,3.0685000000000002,3.05
2026-02-27 11:40:53.023,3.06,0.4,8.4,3.0685000000000002,3.05
2026-02-27 11:40:53.118,3.06,0.4,8.4,3.0681,3.0549999999999997
2026-02-27 11:40:53.326,3.09,0.4,8.4,3.0683,3.06
2026-02-27 11:40:53.532,3.08,0.4,8.4,3.0681,3.065
2026-02-27 11:40:53.646,3.05,0.4,8.4,3.0681,3.065
2026-02-27 11:40:53.840,3.06,0.4,8.4,3.0681,3.065
2026-02-27 11:40:53.950,3.05,0.4,8.4,3.068,3.065
2026-02-27 11:40:54.156,3.07,0.4,8.4,3.0679000000000003,3.065
2026-02-27 11:40:54.260,3.06,0.4,8.4,3.0681,3.06
2026-02-27 11:40:54.357,3.06,0.4,8.4,3.0679000000000003,3.06
2026-02-27 11:40:54.463,3.05,0.4,8.4,3.0677,3.06
2026-02-27 11:40:54.571,3.05,0.4,8.4,3.0675,3.06
2026-02-27 11:40:54.675,3.06,0.4,8.4,3.0679000000000003,3.06
2026-02-27 11:40:54.790,3.05,0.4,8.4,3.0677999999999996,3.0549999999999997
2026-02-27 11:40:54.882,3.06,0.4,8.4,3.0676,3.06
2026-02-27 11:40:54.980,3.05,0.4,8.4,3.0676,3.0549999999999997
2026-02-27 11:40:55.087,3.07,0.4,8.4,3.0679000000000003,3.06
2026-02-27 11:40:55.196,3.07,0.4,8.4,3.068,3.06
2026-02-27 11:40:55.398,3.05,0.4,8.4,3.068,3.0549999999999997
2026-02-27 11:40:55.597,3.1,0.4,8.4,3.0683,3.0549999999999997
2026-02-27 11:40:55.712,3.07,0.4,8.4,3.0682,3.06
2026-02-27 11:40:55.811,3.07,0.4,8.4,3.0681,3.065
2026-02-27 11:40:56.014,3.06,0.4,8.4,3.0677999999999996,3.065
2026-02-27 11:40:56.221,3.08,0.4,8.4,3.0681,3.07
2026-02-27 11:40:56.427,3.03,0.4,8.4,3.0673000000000004,3.07
2026-02-27 11:40:56.533,3.07,0.4,8.4,3.0671,3.07
2026-02-27 11:40:56.636,3.07,0.4,8.4,3.0669999999999997,3.07
2026-02-27 11:40:56.742,3.07,0.4,8.4,3.0671,3.07
2026-02-27 11:40:56.840,3.06,0.4,8.4,3.0669999999999997,3.07
2026-02-27 11:40:56.943,3.07,0.4,8.4,3.0669,3.07
2026-02-27 11:40:57.050,3.1,0.4,8.4,3.0675,3.07
2026-02-27 11:40:57.149,3.08,0.4,8.4,3.0677999999999996,3.07
2026-02-27 11:40:57.261,3.05,0.4,8.4,3.0673000000000004,3.07
2026-02-27 11:40:57.364,3.11,0.4,8.4,3.0676,3.07
2026-02-27 11:40:57.465,3.08,0.4,8.4,3.0675,3.07
2026-02-27 11:40:57.565,3.09,0.4,8.4,3.0676,3.075
2026-02-27 11:40:57.776,3.06,0.4,8.4,3.0676,3.075
2026-02-27 11:40:57.883,3.08,0.4,8.4,3.0677,3.08
2026-02-27 11:40:57.983,3.06,0.4,8.4,3.0676,3.08
2026-02-27 11:40:58.200,3.1,0.4,8.4,3.0679000000000003,3.08
2026-02-27 11:40:58.293,3.05,0.4,8.4,3.0677999999999996,3.08
2026-02-27 11:40:58.500,3.05,0.4,8.4,3.0676,3.0700000000000003
2026-02-27 11:40:58.701,3.11,0.4,8.4,3.0677999999999996,3.08
2026-02-27 11:40:58.812,3.09,0.4,8.4,3.0683,3.08
2026-02-27 11:40:59.023,3.09,0.4,8.4,3.0683,3.085
2026-02-27 11:40:59.133,3.06,0.4,8.4,3.0682,3.0700000000000003
2026-02-27 11:40:59.333,3.08,0.4,8.4,3.0682,3.08
2026-02-27 11:40:59.443,3.07,0.4,8.4,3.0679000000000003,3.075
2026-02-27 11:40:59.535,3.08,0.4,8.4,3.0681,3.08
2026-02-27 11:40:59.640,3.05,0.4,8.4,3.0677,3.075
2026-02-27 11:40:59.744,3.1,0.4,8.4,3.0682,3.08
2026-02-27 11:40:59.842,3.08,0.4,8.4,3.0683999999999996,3.08
2026-02-27 11:40:59.956,3.08,0.4,8.4,3.0683999999999996,3.08
2026-02-27 11:41:00.055,3.08,0.4,8.4,3.0683999999999996,3.08
2026-02-27 11:41:00.157,3.06,0.4,8.4,3.0683,3.08
2026-02-27 11:41:00.261,3.07,0.4,8.4,3.0685,3.08
2026-02-27 11:41:00.361,3.07,0.4,8.4,3.0685,3.075
2026-02-27 11:41:00.468,3.08,0.4,8.4,3.0687,3.08
2026-02-27 11:41:00.574,3.08,0.4,8.4,3.0688,3.08
2026-02-27 11:41:00.678,3.08,0.4,8.4,3.0687,3.08
2026-02-27 11:41:00.784,3.1,0.4,8.4,3.0688999999999997,3.08
2026-02-27 11:41:00.988,3.1,0.4,8.4,3.0694,3.08
2026-02-27 11:41:01.191,3.08,0.4,8.4,3.0696,3.08
2026-02-27 11:41:01.294,3.08,0.4,8.4,3.0696999999999997,3.08
2026-02-27 11:41:01.409,3.08,0.4,8.4,3.0696999999999997,3.08
2026-02-27 11:41:01.612,3.07,0.4,8.4,3.0694999999999997,3.08
2026-02-27 11:41:01.706,3.07,0.4,8.4,3.0693,3.08
2026-02-27 11:41:01.928,3.05,0.4,8.4,3.0690999999999997,3.08
2026-02-27 11:41:02.024,3.05,0.4,8.4,3.0688,3.08
2026-02-27 11:41:02.131,3.08,0.4,8.4,3.0688999999999997,3.08
2026-02-27 11:41:02.230,3.07,0.4,8.4,3.069,3.075
2026-02-27 11:41:02.334,3.07,0.4,8.4,3.069,3.07
2026-02-27 11:41:02.435,3.06,0.4,8.4,3.0690999999999997,3.07
2026-02-27 11:41:02.537,3.08,0.4,8.4,3.0694,3.07
2026-02-27 11:41:02.642,3.08,0.4,8.4,3.0696,3.07
2026-02-27 11:41:02.747,3.06,0.4,8.4,3.0696,3.07
2026-02-27 11:41:02.854,3.09,0.4,8.4,3.0696999999999997,3.07
2026-02-27 11:41:02.954,3.08,0.4,8.4,3.0698000000000003,3.075
2026-02-27 11:41:03.058,3.04,0.4,8.4,3.0696,3.075
2026-02-27 11:41:03.162,3.06,0.4,8.4,3.0696,3.07
2026-02-27 11:41:03.268,3.07,0.4,8.4,3.0698000000000003,3.07
2026-02-27 11:41:03.371,3.07,0.4,8.4,3.0696,3.07
2026-02-27 11:41:03.570,2.97,0.4,8.4,3.0685000000000002,3.07
2026-02-27 11:41:03.679,2.9,0.4,8.4,3.0669,3.065
2026-02-27 11:41:03.889,3.28,0.4,8.4,3.069,3.065
2026-02-27 11:41:04.092,3.11,0.4,8.4,3.0693,3.07
2026-02-27 11:41:04.197,3.06,0.4,8.4,3.0694,3.065
2026-02-27 11:41:04.508,3.06,0.4,8.4,3.0692000000000004,3.06
2026-02-27 11:41:04.609,3.06,0.4,8.4,3.0692000000000004,3.06
2026-02-27 11:41:04.714,3.04,0.4,8.4,3.0688999999999997,3.06
2026-02-27 11:41:04.817,3.09,0.4,8.4,3.0690999999999997,3.06
2026-02-27 11:41:04.923,3.06,0.4,8.4,3.0692000000000004,3.06
2026-02-27 11:41:05.024,3.08,0.4,8.4,3.0694999999999997,3.06
2026-02-27 11:41:05.130,3.07,0.4,8.4,3.0696999999999997,3.065
2026-02-27 11:41:05.233,3.08,0.4,8.4,3.07,3.065
2026-02-27 11:41:05.338,3.13,0.4,8.4,3.0707999999999998,3.065
2026-02-27 11:41:05.438,3.21,0.4,8.4,3.0724,3.075
2026-02-27 11:41:05.551,3.28,0.4,8.4,3.0745,3.08
2026-02-27 11:41:05.643,3.32,0.4,8.4,3.0769,3.085
2026-02-27 11:41:05.959,3.4,0.4,8.4,3.0801,3.11
2026-02-27 11:41:06.161,3.48,0.4,8.4,3.0843000000000003,3.17
2026-02-27 11:41:06.264,3.37,0.4,8.4,3.0874,3.245
2026-02-27 11:41:06.367,3.37,0.4,8.4,3.0902,3.3
2026-02-27 11:41:06.578,3.27,0.4,8.4,3.0921,3.3
2026-02-27 11:41:06.680,3.26,0.4,8.4,3.0942000000000003,3.3
2026-02-27 11:41:06.785,3.36,0.4,8.4,3.0971999999999995,3.34
2026-02-27 11:41:06.889,3.33,0.4,8.4,3.1,3.3449999999999998
2026-02-27 11:41:06.988,3.35,0.4,8.4,3.1028,3.355
2026-02-27 11:41:07.091,3.34,0.4,8.4,3.1056,3.355
2026-02-27 11:41:07.198,3.31,0.4,8.4,3.1081,3.3449999999999998
2026-02-27 11:41:07.305,3.35,0.4,8.4,3.1111,3.3449999999999998
