Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:22:48.042,1.06,0.83,9.17,0.9532,1.245
2026-02-27 11:22:48.154,1.92,0.83,9.17,0.9627,1.245
2026-02-27 11:22:48.256,1.32,0.83,9.17,0.9671,1.245
2026-02-27 11:22:48.366,1.31,0.83,9.17,0.971,1.245
2026-02-27 11:22:48.457,1.18,0.83,9.17,0.9734999999999999,1.205
2026-02-27 11:22:48.570,1.11,0.83,9.17,0.9754,1.145
2026-02-27 11:22:48.779,0.98,0.83,9.17,0.9764,1.09
2026-02-27 11:22:48.877,1.03,0.83,9.17,0.9773999999999999,1.09
2026-02-27 11:22:48.992,1.8,0.83,9.17,0.9861,1.145
2026-02-27 11:22:49.179,1.26,0.83,9.17,0.9893000000000001,1.22
2026-02-27 11:22:49.597,2.11,0.83,9.17,1.0009000000000001,1.2850000000000001
2026-02-27 11:22:49.700,2.14,0.83,9.17,1.0128,1.2850000000000001
2026-02-27 11:22:49.813,1.81,0.83,9.17,1.0218,1.2850000000000001
2026-02-27 11:22:49.906,1.47,0.83,9.17,1.0270000000000001,1.365
2026-02-27 11:22:50.016,1.47,0.83,9.17,1.0328,1.47
2026-02-27 11:22:50.120,2.18,0.83,9.17,1.0454,1.635
2026-02-27 11:22:50.220,2.05,0.83,9.17,1.0565,1.8050000000000002
2026-02-27 11:22:50.322,1.68,0.83,9.17,1.0641,1.8050000000000002
2026-02-27 11:22:50.424,1.63,0.83,9.17,1.0711,1.745
2026-02-27 11:22:50.531,1.58,0.83,9.17,1.078,1.745
2026-02-27 11:22:50.630,2.18,0.83,9.17,1.091,1.745
2026-02-27 11:22:50.741,1.96,0.83,9.17,1.1018000000000001,1.745
2026-02-27 11:22:50.843,2.14,0.83,9.17,1.1146,1.8199999999999998
2026-02-27 11:22:50.945,2.19,0.83,9.17,1.1279000000000001,2.005
2026-02-27 11:22:51.252,1.15,0.83,9.17,1.1304,2.005
2026-02-27 11:22:51.355,1.28,0.83,9.17,1.1343,1.8199999999999998
2026-02-27 11:22:51.467,1.11,0.83,9.17,1.1362999999999999,1.6549999999999998
2026-02-27 11:22:51.671,1.18,0.83,9.17,1.1392,1.605
2026-02-27 11:22:51.776,1.16,0.83,9.17,1.1421999999999999,1.4300000000000002
2026-02-27 11:22:51.975,1.11,0.83,9.17,1.1442,1.23
2026-02-27 11:22:52.079,1.06,0.83,9.17,1.1455,1.17
2026-02-27 11:22:52.388,1.09,0.83,9.17,1.1472,1.1549999999999998
2026-02-27 11:22:52.494,1.06,0.83,9.17,1.1488,1.13
2026-02-27 11:22:52.601,0.95,0.83,9.17,1.1494,1.11
2026-02-27 11:22:52.901,1.07,0.83,9.17,1.1511,1.1
2026-02-27 11:22:53.112,1.07,0.83,9.17,1.1527,1.08
2026-02-27 11:22:53.211,1.05,0.83,9.17,1.1546,1.07
2026-02-27 11:22:53.329,1.09,0.83,9.17,1.1562999999999999,1.07
2026-02-27 11:22:53.421,1.08,0.83,9.17,1.1576,1.07
2026-02-27 11:22:53.527,1.08,0.83,9.17,1.1591,1.07
2026-02-27 11:22:53.629,1.06,0.83,9.17,1.161,1.07
2026-02-27 11:22:53.731,1.1,0.83,9.17,1.163,1.07
2026-02-27 11:22:54.041,1.05,0.83,9.17,1.1643000000000001,1.07
2026-02-27 11:22:54.145,1.05,0.83,9.17,1.1658,1.07
2026-02-27 11:22:54.253,1.07,0.83,9.17,1.1675,1.07
2026-02-27 11:22:54.757,1.07,0.83,9.17,1.1695,1.07
2026-02-27 11:22:55.064,1.09,0.83,9.17,1.1715,1.0750000000000002
2026-02-27 11:22:55.169,1.04,0.83,9.17,1.1726999999999999,1.07
2026-02-27 11:22:55.282,1.07,0.83,9.17,1.1742,1.07
2026-02-27 11:22:55.376,1.04,0.83,9.17,1.1755,1.065
2026-02-27 11:22:55.502,1.08,0.83,9.17,1.1773,1.07
2026-02-27 11:22:55.590,1.07,0.83,9.17,1.1792,1.07
2026-02-27 11:22:55.699,1.06,0.83,9.17,1.1809,1.07
2026-02-27 11:22:55.803,0.99,0.83,9.17,1.1821000000000002,1.07
2026-02-27 11:22:55.897,1.06,0.83,9.17,1.1839,1.065
2026-02-27 11:22:56.109,1.07,0.83,9.17,1.1859,1.065
2026-02-27 11:22:56.212,1.07,0.83,9.17,1.1875,1.065
2026-02-27 11:22:56.421,1.05,0.83,9.17,1.1891,1.065
2026-02-27 11:22:56.522,1.04,0.83,9.17,1.1902,1.06
2026-02-27 11:22:56.720,1.01,0.83,9.17,1.1913,1.06
2026-02-27 11:22:56.932,1.04,0.83,9.17,1.1926999999999999,1.0550000000000002
2026-02-27 11:22:57.034,1.04,0.83,9.17,1.1945000000000001,1.045
2026-02-27 11:22:57.139,1.07,0.83,9.17,1.1965999999999999,1.045
2026-02-27 11:22:57.254,1.07,0.83,9.17,1.1987999999999999,1.0550000000000002
2026-02-27 11:22:57.344,1.05,0.83,9.17,1.2006000000000001,1.05
2026-02-27 11:22:57.451,1.05,0.83,9.17,1.2025,1.05
2026-02-27 11:22:57.552,1.06,0.83,9.17,1.2044,1.05
2026-02-27 11:22:57.664,1.06,0.83,9.17,1.2063,1.05
2026-02-27 11:22:57.765,1.04,0.83,9.17,1.2079,1.05
2026-02-27 11:22:57.871,1.05,0.83,9.17,1.2096,1.05
2026-02-27 11:22:57.974,1.03,0.83,9.17,1.2112,1.05
2026-02-27 11:22:58.078,0.98,0.83,9.17,1.2127,1.05
2026-02-27 11:22:58.188,1.05,0.83,9.17,1.2144,1.05
2026-02-27 11:22:58.279,1.03,0.83,9.17,1.2157,1.05
2026-02-27 11:22:58.388,1.02,0.83,9.17,1.2166,1.045
2026-02-27 11:22:58.490,1.03,0.83,9.17,1.2173,1.0350000000000001
2026-02-27 11:22:58.597,1.03,0.83,9.17,1.2182000000000002,1.03
2026-02-27 11:22:58.697,1.0,0.83,9.17,1.2192,1.03
2026-02-27 11:22:58.797,1.02,0.83,9.17,1.2204000000000002,1.03
2026-02-27 11:22:58.900,1.01,0.83,9.17,1.2212,1.025
2026-02-27 11:22:59.005,0.96,0.83,9.17,1.2218,1.02
2026-02-27 11:22:59.116,1.0,0.83,9.17,1.2229,1.02
2026-02-27 11:22:59.220,1.02,0.83,9.17,1.2242,1.02
2026-02-27 11:22:59.420,1.04,0.83,9.17,1.2254,1.02
2026-02-27 11:22:59.524,1.0,0.83,9.17,1.2265000000000001,1.0150000000000001
2026-02-27 11:22:59.634,1.01,0.83,9.17,1.2278,1.01
2026-02-27 11:22:59.837,1.0,0.83,9.17,1.2286,1.005
2026-02-27 11:22:59.940,0.98,0.83,9.17,1.227,1.005
2026-02-27 11:23:00.150,0.99,0.83,9.17,1.2268999999999999,1.0
2026-02-27 11:23:00.256,1.0,0.83,9.17,1.218,1.0
2026-02-27 11:23:00.359,1.0,0.83,9.17,1.2157,1.0
2026-02-27 11:23:00.662,1.04,0.83,9.17,1.2135,1.0
2026-02-27 11:23:00.765,1.02,0.83,9.17,1.204,1.0
2026-02-27 11:23:00.873,1.03,0.83,9.17,1.2,1.0
2026-02-27 11:23:00.975,1.04,0.83,9.17,1.1959,1.005
2026-02-27 11:23:01.085,1.06,0.83,9.17,1.1942,1.01
2026-02-27 11:23:01.185,1.07,0.83,9.17,1.1923000000000001,1.025
2026-02-27 11:23:01.287,1.09,0.83,9.17,1.1934,1.0350000000000001
2026-02-27 11:23:01.498,1.1,0.83,9.17,1.1937,1.04
2026-02-27 11:23:01.599,1.08,0.83,9.17,1.1955,1.05
2026-02-27 11:23:01.705,1.09,0.83,9.17,1.1958,1.065
2026-02-27 11:23:01.805,1.05,0.83,9.17,1.1871,1.065
2026-02-27 11:23:01.910,1.02,0.83,9.17,1.1841,1.065
2026-02-27 11:23:02.112,1.07,0.83,9.17,1.1817,1.07
2026-02-27 11:23:02.221,1.06,0.83,9.17,1.1804999999999999,1.07
2026-02-27 11:23:02.421,1.05,0.83,9.17,1.1799000000000002,1.07
2026-02-27 11:23:02.527,1.03,0.83,9.17,1.1804000000000001,1.065
2026-02-27 11:23:02.631,1.05,0.83,9.17,1.1806,1.0550000000000002
2026-02-27 11:23:02.737,1.03,0.83,9.17,1.1729,1.05
2026-02-27 11:23:02.840,1.03,0.83,9.17,1.1706,1.05
2026-02-27 11:23:02.943,1.09,0.83,9.17,1.1604,1.05
2026-02-27 11:23:03.041,1.06,0.83,9.17,1.1496000000000002,1.05
2026-02-27 11:23:03.147,1.06,0.83,9.17,1.1421000000000001,1.0550000000000002
2026-02-27 11:23:03.251,1.06,0.83,9.17,1.138,1.0550000000000002
2026-02-27 11:23:03.358,1.06,0.83,9.17,1.1339,1.0550000000000002
2026-02-27 11:23:03.466,1.1,0.83,9.17,1.1231,1.06
2026-02-27 11:23:03.568,1.1,0.83,9.17,1.1136,1.06
2026-02-27 11:23:03.679,1.08,0.83,9.17,1.1076000000000001,1.06
2026-02-27 11:23:03.774,1.08,0.83,9.17,1.1021,1.07
2026-02-27 11:23:03.872,1.11,0.83,9.17,1.0974000000000002,1.08
2026-02-27 11:23:03.986,1.12,0.83,9.17,1.0868,1.08
2026-02-27 11:23:04.081,1.13,0.83,9.17,1.0785,1.09
