Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:30:07.618,3.32,1.42,3.34,2.723292682926829,3.28
2026-02-27 11:30:07.709,3.22,1.42,3.34,2.729277108433735,3.28
2026-02-27 11:30:07.819,3.31,1.42,3.34,2.736190476190476,3.285
2026-02-27 11:30:07.912,3.26,1.42,3.34,2.7423529411764704,3.285
2026-02-27 11:30:08.026,3.24,1.42,3.34,2.748139534883721,3.285
2026-02-27 11:30:08.123,3.23,1.42,3.34,2.75367816091954,3.285
2026-02-27 11:30:08.238,3.25,1.42,3.34,2.759318181818182,3.2699999999999996
2026-02-27 11:30:08.433,3.25,1.42,3.34,2.764831460674157,3.255
2026-02-27 11:30:08.541,3.25,1.42,3.34,2.7702222222222224,3.25
2026-02-27 11:30:08.849,3.26,1.42,3.34,2.775604395604396,3.25
2026-02-27 11:30:08.945,3.27,1.42,3.34,2.7809782608695652,3.25
2026-02-27 11:30:09.151,3.29,1.42,3.34,2.7864516129032255,3.255
2026-02-27 11:30:09.364,3.34,1.42,3.34,2.7923404255319153,3.255
2026-02-27 11:30:09.469,3.32,1.42,3.34,2.7978947368421054,3.255
2026-02-27 11:30:09.580,3.26,1.42,3.34,2.8027083333333334,3.26
2026-02-27 11:30:09.674,3.27,1.42,3.34,2.8075257731958763,3.2649999999999997
2026-02-27 11:30:09.777,3.31,1.42,3.34,2.8126530612244895,3.27
2026-02-27 11:30:09.876,3.3,1.42,3.34,2.8175757575757574,3.2800000000000002
2026-02-27 11:30:09.982,3.31,1.42,3.34,2.8225,3.295
2026-02-27 11:30:10.095,3.33,1.42,3.34,2.8374,3.3049999999999997
2026-02-27 11:30:10.199,3.23,1.42,3.34,2.8529,3.3049999999999997
2026-02-27 11:30:10.301,3.24,1.42,3.34,2.8646999999999996,3.3049999999999997
2026-02-27 11:30:10.404,3.2,1.42,3.34,2.8799,3.285
2026-02-27 11:30:10.505,3.23,1.42,3.34,2.8962,3.2649999999999997
2026-02-27 11:30:10.607,3.18,1.42,3.34,2.9126999999999996,3.255
2026-02-27 11:30:10.816,3.25,1.42,3.34,2.9298,3.245
2026-02-27 11:30:11.121,3.26,1.42,3.34,2.9463,3.245
2026-02-27 11:30:11.228,3.27,1.42,3.34,2.9623000000000004,3.245
2026-02-27 11:30:11.436,3.25,1.42,3.34,2.9806,3.245
2026-02-27 11:30:11.535,3.27,1.42,3.34,2.9978,3.245
2026-02-27 11:30:11.743,3.3,1.42,3.34,3.0151,3.25
2026-02-27 11:30:11.845,3.29,1.42,3.34,3.0309,3.255
2026-02-27 11:30:11.948,3.3,1.42,3.34,3.0471,3.2649999999999997
2026-02-27 11:30:12.049,3.31,1.42,3.34,3.0638,3.27
2026-02-27 11:30:12.156,3.27,1.42,3.34,3.0795999999999997,3.27
2026-02-27 11:30:12.263,3.25,1.42,3.34,3.0951,3.27
2026-02-27 11:30:12.369,3.26,1.42,3.34,3.1119,3.27
2026-02-27 11:30:12.469,3.31,1.42,3.34,3.1291,3.2800000000000002
2026-02-27 11:30:12.574,3.36,1.42,3.36,3.1451,3.295
2026-02-27 11:30:12.682,3.27,1.42,3.36,3.1619,3.295
2026-02-27 11:30:12.782,3.22,1.42,3.36,3.179,3.2800000000000002
2026-02-27 11:30:12.886,3.3,1.42,3.36,3.1959,3.285
2026-02-27 11:30:12.983,3.24,1.42,3.36,3.2131,3.27
2026-02-27 11:30:13.089,3.33,1.42,3.36,3.2295,3.27
2026-02-27 11:30:13.197,3.33,1.42,3.36,3.2464999999999997,3.285
2026-02-27 11:30:13.311,3.27,1.42,3.36,3.2624,3.285
2026-02-27 11:30:13.409,3.25,1.42,3.36,3.2631,3.285
2026-02-27 11:30:13.513,3.23,1.42,3.36,3.2631,3.27
2026-02-27 11:30:13.608,3.25,1.42,3.36,3.263,3.26
2026-02-27 11:30:13.715,3.24,1.42,3.36,3.2628,3.25
2026-02-27 11:30:13.823,3.25,1.42,3.36,3.2626,3.25
2026-02-27 11:30:13.918,3.26,1.42,3.36,3.2626999999999997,3.25
2026-02-27 11:30:14.021,3.23,1.42,3.36,3.2625,3.25
2026-02-27 11:30:14.230,3.25,1.42,3.36,3.2622000000000004,3.25
2026-02-27 11:30:14.339,3.24,1.42,3.36,3.2618,3.25
2026-02-27 11:30:14.537,3.23,1.42,3.36,3.262,3.245
2026-02-27 11:30:14.648,3.23,1.42,3.36,3.2622000000000004,3.24
2026-02-27 11:30:14.956,3.22,1.42,3.36,3.2626999999999997,3.24
2026-02-27 11:30:15.055,3.22,1.42,3.36,3.263,3.2350000000000003
2026-02-27 11:30:15.163,3.24,1.42,3.36,3.2620999999999998,3.2350000000000003
2026-02-27 11:30:15.267,3.27,1.42,3.36,3.2616,3.2350000000000003
2026-02-27 11:30:15.375,3.24,1.42,3.36,3.2622000000000004,3.2350000000000003
2026-02-27 11:30:15.477,3.23,1.42,3.36,3.2626999999999997,3.2350000000000003
2026-02-27 11:30:15.577,3.25,1.42,3.36,3.2619,3.2350000000000003
2026-02-27 11:30:15.674,3.21,1.42,3.36,3.2624,3.23
2026-02-27 11:30:15.781,3.25,1.42,3.36,3.2623,3.2350000000000003
2026-02-27 11:30:15.891,3.24,1.42,3.36,3.2622000000000004,3.24
2026-02-27 11:30:15.997,3.23,1.42,3.36,3.2615,3.24
2026-02-27 11:30:16.198,3.23,1.42,3.36,3.2609,3.24
2026-02-27 11:30:16.306,3.22,1.42,3.36,3.2607999999999997,3.2350000000000003
2026-02-27 11:30:16.504,3.24,1.42,3.36,3.2607999999999997,3.2350000000000003
2026-02-27 11:30:16.609,3.26,1.42,3.36,3.2607,3.2350000000000003
2026-02-27 11:30:16.818,3.22,1.42,3.36,3.2607999999999997,3.2350000000000003
2026-02-27 11:30:17.022,3.23,1.42,3.36,3.2606,3.23
2026-02-27 11:30:17.226,3.28,1.42,3.36,3.2611000000000003,3.2350000000000003
2026-02-27 11:30:17.332,3.28,1.42,3.36,3.2614,3.2350000000000003
2026-02-27 11:30:17.738,3.28,1.42,3.36,3.2618,3.2350000000000003
2026-02-27 11:30:17.853,3.3,1.42,3.36,3.2619,3.25
2026-02-27 11:30:17.957,3.28,1.42,3.36,3.2620999999999998,3.2699999999999996
2026-02-27 11:30:18.053,3.3,1.42,3.36,3.2626999999999997,3.28
2026-02-27 11:30:18.158,3.26,1.42,3.36,3.2631,3.28
2026-02-27 11:30:18.269,3.3,1.42,3.36,3.2636000000000003,3.28
2026-02-27 11:30:18.363,3.25,1.42,3.36,3.2635,3.28
2026-02-27 11:30:18.467,3.25,1.42,3.36,3.2642,3.28
2026-02-27 11:30:18.576,3.29,1.42,3.36,3.2642,3.28
2026-02-27 11:30:18.674,3.27,1.42,3.36,3.2638,3.28
2026-02-27 11:30:18.886,3.29,1.42,3.36,3.2643,3.285
2026-02-27 11:30:19.086,3.32,1.42,3.36,3.265,3.285
2026-02-27 11:30:19.298,3.27,1.42,3.36,3.2649,3.2800000000000002
2026-02-27 11:30:19.402,3.26,1.42,3.36,3.2649,3.27
2026-02-27 11:30:19.600,3.26,1.42,3.36,3.2649,3.27
2026-02-27 11:30:19.712,3.25,1.42,3.36,3.2649,3.2649999999999997
2026-02-27 11:30:19.818,3.24,1.42,3.36,3.2648,3.2649999999999997
2026-02-27 11:30:19.912,3.25,1.42,3.36,3.2647000000000004,3.2649999999999997
2026-02-27 11:30:20.025,3.28,1.42,3.36,3.265,3.2649999999999997
2026-02-27 11:30:20.538,3.26,1.42,3.36,3.2648,3.26
2026-02-27 11:30:20.744,3.25,1.42,3.36,3.2642,3.26
2026-02-27 11:30:20.850,3.26,1.42,3.36,3.2634,3.26
2026-02-27 11:30:20.947,3.28,1.42,3.36,3.2632999999999996,3.26
2026-02-27 11:30:21.053,3.26,1.42,3.36,3.2631,3.26
2026-02-27 11:30:21.156,3.27,1.42,3.36,3.2626,3.26
2026-02-27 11:30:21.265,3.26,1.42,3.36,3.263,3.26
2026-02-27 11:30:21.360,3.29,1.42,3.36,3.2628,3.26
2026-02-27 11:30:21.464,3.28,1.42,3.36,3.263,3.2649999999999997
2026-02-27 11:30:21.772,3.31,1.42,3.36,3.2637,3.2649999999999997
2026-02-27 11:30:21.886,3.29,1.42,3.36,3.2643,3.275
2026-02-27 11:30:22.085,3.29,1.42,3.36,3.2646999999999995,3.28
2026-02-27 11:30:22.189,3.25,1.42,3.36,3.2646999999999995,3.28
2026-02-27 11:30:22.291,3.26,1.42,3.36,3.2648,3.275
2026-02-27 11:30:22.393,3.25,1.42,3.36,3.2646999999999995,3.275
2026-02-27 11:30:22.500,3.27,1.42,3.36,3.2646999999999995,3.275
2026-02-27 11:30:22.602,3.25,1.42,3.36,3.2643,3.275
2026-02-27 11:30:22.713,3.26,1.42,3.36,3.2635,3.2649999999999997
2026-02-27 11:30:22.816,3.25,1.42,3.36,3.2628,3.26
2026-02-27 11:30:22.928,3.25,1.42,3.36,3.2626999999999997,3.255
2026-02-27 11:30:23.024,3.25,1.42,3.36,3.2625,3.25
2026-02-27 11:30:23.130,3.26,1.42,3.36,3.262,3.25
2026-02-27 11:30:23.234,3.3,1.42,3.36,3.262,3.255
2026-02-27 11:30:23.331,3.29,1.42,3.36,3.2618,3.255
2026-02-27 11:30:23.437,3.29,1.42,3.36,3.2614,3.26
2026-02-27 11:30:23.544,3.29,1.42,3.36,3.262,3.26
2026-02-27 11:30:23.651,3.29,1.42,3.36,3.2625,3.275
2026-02-27 11:30:23.747,3.3,1.42,3.36,3.2635,3.29
2026-02-27 11:30:23.852,3.29,1.42,3.36,3.2641000000000004,3.29
2026-02-27 11:30:24.059,3.31,1.42,3.36,3.2654,3.29
2026-02-27 11:30:24.265,3.27,1.42,3.36,3.2656,3.29
2026-02-27 11:30:24.468,3.3,1.42,3.36,3.266,3.29
2026-02-27 11:30:24.677,3.29,1.42,3.36,3.2662,3.29
2026-02-27 11:30:24.780,3.28,1.42,3.36,3.2664999999999997,3.29
2026-02-27 11:30:24.882,3.27,1.42,3.36,3.2664999999999997,3.29
2026-02-27 11:30:24.986,3.28,1.42,3.36,3.2662999999999998,3.29
2026-02-27 11:30:25.093,3.28,1.42,3.36,3.2662,3.285
2026-02-27 11:30:25.197,3.27,1.42,3.36,3.2659,3.28
2026-02-27 11:30:25.301,3.27,1.42,3.36,3.2655000000000003,3.28
2026-02-27 11:30:25.404,3.28,1.42,3.36,3.2656,3.28
