Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:18:10.752,5.09,3.02,5.15,4.524255319148936,5.075
2026-02-27 11:18:10.855,5.08,3.02,5.15,4.530105263157895,5.075
2026-02-27 11:18:11.057,5.08,3.02,5.15,4.535833333333334,5.075
2026-02-27 11:18:11.165,5.08,3.02,5.15,4.541443298969072,5.075
2026-02-27 11:18:11.268,5.09,3.02,5.15,4.547040816326531,5.08
2026-02-27 11:18:11.472,5.05,3.02,5.15,4.552121212121213,5.08
2026-02-27 11:18:11.689,5.06,3.02,5.15,4.5572,5.08
2026-02-27 11:18:11.796,5.09,3.02,5.15,4.5776,5.08
2026-02-27 11:18:11.891,5.11,3.02,5.15,4.5982,5.085
2026-02-27 11:18:12.095,5.05,3.02,5.15,4.6182,5.08
2026-02-27 11:18:12.216,5.07,3.02,5.15,4.6383,5.08
2026-02-27 11:18:12.302,5.08,3.02,5.15,4.6587,5.08
2026-02-27 11:18:12.407,5.1,3.02,5.15,4.6791,5.08
2026-02-27 11:18:12.713,5.06,3.02,5.15,4.6993,5.075
2026-02-27 11:18:12.924,5.07,3.02,5.15,4.7195,5.07
2026-02-27 11:18:13.028,5.1,3.02,5.15,4.7402999999999995,5.075
2026-02-27 11:18:13.125,5.1,3.02,5.15,4.7607,5.085
2026-02-27 11:18:13.234,5.09,3.02,5.15,4.7811,5.085
2026-02-27 11:18:13.336,5.1,3.02,5.15,4.8016,5.085
2026-02-27 11:18:13.438,5.09,3.02,5.15,4.8221,5.09
2026-02-27 11:18:13.540,5.08,3.02,5.15,4.8424000000000005,5.09
2026-02-27 11:18:13.642,5.11,3.02,5.15,4.8623,5.095
2026-02-27 11:18:13.753,5.06,3.02,5.15,4.8809,5.09
2026-02-27 11:18:13.855,5.08,3.02,5.15,4.8994,5.09
2026-02-27 11:18:13.954,5.03,3.02,5.15,4.918,5.09
2026-02-27 11:18:14.166,5.11,3.02,5.15,4.9374,5.09
2026-02-27 11:18:14.264,5.09,3.02,5.15,4.9565,5.09
2026-02-27 11:18:14.470,5.1,3.02,5.15,4.9758,5.09
2026-02-27 11:18:14.571,5.06,3.02,5.15,4.9940999999999995,5.085
2026-02-27 11:18:14.776,5.04,3.02,5.15,5.0124,5.08
2026-02-27 11:18:14.883,5.1,3.02,5.15,5.0304,5.085
2026-02-27 11:18:14.992,5.12,3.02,5.15,5.0489,5.085
2026-02-27 11:18:15.189,5.07,3.02,5.15,5.0679,5.085
2026-02-27 11:18:15.305,5.05,3.02,5.15,5.086,5.08
2026-02-27 11:18:15.400,5.07,3.02,5.15,5.0856,5.08
2026-02-27 11:18:15.514,5.12,3.02,5.15,5.0856,5.08
2026-02-27 11:18:15.604,5.07,3.02,5.15,5.0851999999999995,5.07
2026-02-27 11:18:15.708,5.1,3.02,5.15,5.0851999999999995,5.07
2026-02-27 11:18:15.812,5.09,3.02,5.15,5.0853,5.08
2026-02-27 11:18:15.923,5.11,3.02,5.15,5.0859,5.095
2026-02-27 11:18:16.024,5.11,3.02,5.15,5.0864,5.095
2026-02-27 11:18:16.126,5.05,3.02,5.15,5.0862,5.08
