Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:55:49.294,5.0,3.03,5.12,5.006082474226804,5.05
2026-02-27 11:55:49.396,5.06,3.03,5.12,5.006632653061224,5.06
2026-02-27 11:55:49.503,5.04,3.03,5.12,5.006969696969697,5.05
2026-02-27 11:55:49.602,5.02,3.03,5.12,5.007099999999999,5.04
2026-02-27 11:55:49.709,5.04,3.03,5.12,5.0272,5.04
2026-02-27 11:55:49.813,5.06,3.03,5.12,5.0473,5.04
2026-02-27 11:55:49.916,5.0,3.03,5.12,5.0466999999999995,5.04
2026-02-27 11:55:50.022,5.08,3.03,5.12,5.0475,5.04
2026-02-27 11:55:50.122,5.02,3.03,5.12,5.0466999999999995,5.029999999999999
2026-02-27 11:55:50.224,5.08,3.03,5.12,5.0470999999999995,5.04
2026-02-27 11:55:50.343,5.08,3.03,5.12,5.0477,5.05
2026-02-27 11:55:50.433,5.02,3.03,5.12,5.047899999999999,5.04
2026-02-27 11:55:50.548,5.02,3.03,5.12,5.0477,5.029999999999999
2026-02-27 11:55:50.637,5.0,3.03,5.12,5.0473,5.029999999999999
2026-02-27 11:55:50.750,5.08,3.03,5.12,5.047899999999999,5.039999999999999
2026-02-27 11:55:50.856,5.02,3.03,5.12,5.0475,5.02
2026-02-27 11:55:50.949,5.06,3.03,5.12,5.0475,5.039999999999999
2026-02-27 11:55:51.062,5.08,3.03,5.12,5.0481,5.039999999999999
2026-02-27 11:55:51.170,5.14,3.03,5.14,5.049799999999999,5.07
2026-02-27 11:55:51.269,5.08,3.03,5.14,5.049799999999999,5.07
2026-02-27 11:55:51.376,5.1,3.03,5.14,5.0504,5.07
2026-02-27 11:55:51.477,5.08,3.03,5.14,5.050999999999999,5.08
2026-02-27 11:55:51.586,5.06,3.03,5.14,5.050999999999999,5.08
2026-02-27 11:55:51.688,5.08,3.03,5.14,5.0516,5.08
2026-02-27 11:55:51.796,5.06,3.03,5.14,5.0512,5.08
2026-02-27 11:55:51.904,5.12,3.03,5.14,5.0518,5.08
2026-02-27 11:55:51.999,5.02,3.03,5.14,5.052,5.08
2026-02-27 11:55:52.106,5.02,3.03,5.14,5.0522,5.08
2026-02-27 11:55:52.218,5.0,3.03,5.14,5.050999999999999,5.07
2026-02-27 11:55:52.322,5.02,3.03,5.14,5.0508,5.06
2026-02-27 11:55:52.431,5.04,3.03,5.14,5.0508,5.05
2026-02-27 11:55:52.525,5.04,3.03,5.14,5.050999999999999,5.04
2026-02-27 11:55:52.640,5.02,3.03,5.14,5.0512,5.029999999999999
2026-02-27 11:55:52.735,5.06,3.03,5.14,5.050999999999999,5.029999999999999
2026-02-27 11:55:52.846,5.08,3.03,5.14,5.0512,5.029999999999999
2026-02-27 11:55:52.941,5.06,3.03,5.14,5.0508,5.029999999999999
2026-02-27 11:55:53.046,5.08,3.03,5.14,5.050999999999999,5.04
2026-02-27 11:55:53.155,5.06,3.03,5.14,5.0508,5.05
2026-02-27 11:55:53.256,5.06,3.03,5.14,5.050999999999999,5.06
2026-02-27 11:55:53.359,5.04,3.03,5.14,5.0506,5.06
2026-02-27 11:55:53.455,5.0,3.03,5.14,5.0496,5.06
2026-02-27 11:55:53.570,5.0,3.03,5.14,5.0489999999999995,5.06
2026-02-27 11:55:53.680,5.06,3.03,5.14,5.0486,5.06
2026-02-27 11:55:53.778,5.04,3.03,5.14,5.0484,5.06
2026-02-27 11:55:53.883,5.08,3.03,5.14,5.0488,5.06
2026-02-27 11:55:53.985,5.02,3.03,5.14,5.0482,5.05
2026-02-27 11:55:54.088,5.08,3.03,5.14,5.0486,5.05
2026-02-27 11:55:54.194,5.04,3.03,5.14,5.0486,5.04
2026-02-27 11:55:54.301,5.1,3.03,5.14,5.0499,5.04
2026-02-27 11:55:54.396,5.04,3.03,5.14,5.0501,5.04
2026-02-27 11:55:54.508,5.08,3.03,5.14,5.0503,5.05
2026-02-27 11:55:54.615,5.0,3.03,5.14,5.0501,5.05
2026-02-27 11:55:54.715,5.06,3.03,5.14,5.0507,5.05
2026-02-27 11:55:54.827,5.08,3.03,5.14,5.0503,5.07
2026-02-27 11:55:54.926,5.04,3.03,5.14,5.0508,5.05
2026-02-27 11:55:55.036,5.08,3.03,5.14,5.0512,5.07
2026-02-27 11:55:55.139,5.06,3.03,5.14,5.0514,5.06
2026-02-27 11:55:55.244,5.06,3.03,5.14,5.0516,5.06
2026-02-27 11:55:55.340,5.12,3.03,5.14,5.0518,5.06
2026-02-27 11:55:55.450,5.12,3.03,5.14,5.053,5.07
2026-02-27 11:55:55.552,5.08,3.03,5.14,5.0538,5.07
2026-02-27 11:55:55.659,5.0,3.03,5.14,5.0534,5.07
2026-02-27 11:55:55.776,5.0,3.03,5.14,5.0526,5.07
2026-02-27 11:55:55.873,5.08,3.03,5.14,5.053,5.07
2026-02-27 11:55:55.975,5.06,3.03,5.14,5.0524000000000004,5.07
2026-02-27 11:55:56.074,5.06,3.03,5.14,5.0524000000000004,5.06
2026-02-27 11:55:56.183,5.08,3.03,5.14,5.0524000000000004,5.07
2026-02-27 11:55:56.287,5.06,3.03,5.14,5.0524000000000004,5.07
2026-02-27 11:55:56.388,5.0,3.03,5.14,5.0522,5.06
2026-02-27 11:55:56.503,5.06,3.03,5.14,5.0524000000000004,5.06
2026-02-27 11:55:56.601,5.02,3.03,5.14,5.0524000000000004,5.06
2026-02-27 11:55:56.699,5.08,3.03,5.14,5.0524000000000004,5.06
2026-02-27 11:55:56.819,5.04,3.03,5.14,5.0526,5.06
2026-02-27 11:55:56.913,5.02,3.03,5.14,5.0526,5.06
2026-02-27 11:55:57.030,5.06,3.03,5.14,5.0527999999999995,5.06
2026-02-27 11:55:57.117,5.1,3.03,5.14,5.053,5.06
2026-02-27 11:55:57.228,5.06,3.03,5.14,5.0524000000000004,5.06
2026-02-27 11:55:57.339,5.08,3.03,5.14,5.053,5.06
2026-02-27 11:55:57.437,5.06,3.03,5.14,5.0536,5.06
2026-02-27 11:55:57.545,5.08,3.03,5.14,5.053999999999999,5.06
2026-02-27 11:55:57.653,5.06,3.03,5.14,5.0542,5.06
2026-02-27 11:55:57.758,5.04,3.03,5.14,5.0542,5.06
2026-02-27 11:55:57.859,5.06,3.03,5.14,5.0544,5.06
2026-02-27 11:55:57.951,5.06,3.03,5.14,5.0546,5.06
2026-02-27 11:55:58.058,5.04,3.03,5.14,5.0544,5.06
2026-02-27 11:55:58.165,5.02,3.03,5.14,5.0538,5.06
2026-02-27 11:55:58.278,5.06,3.03,5.14,5.0538,5.06
2026-02-27 11:55:58.383,5.04,3.03,5.14,5.0538,5.06
2026-02-27 11:55:58.477,5.06,3.03,5.14,5.053999999999999,5.06
2026-02-27 11:55:58.584,5.1,3.03,5.14,5.053999999999999,5.06
2026-02-27 11:55:58.692,5.0,3.03,5.14,5.053599999999999,5.05
2026-02-27 11:55:58.789,5.02,3.03,5.14,5.0538,5.05
2026-02-27 11:55:58.896,5.0,3.03,5.14,5.0527999999999995,5.04
2026-02-27 11:55:59.006,5.0,3.03,5.14,5.0518,5.029999999999999
2026-02-27 11:55:59.108,5.0,3.03,5.14,5.0512,5.02
2026-02-27 11:55:59.203,5.06,3.03,5.14,5.0512,5.029999999999999
2026-02-27 11:55:59.309,5.02,3.03,5.14,5.050999999999999,5.02
2026-02-27 11:55:59.419,5.06,3.03,5.14,5.0508,5.02
2026-02-27 11:55:59.525,5.06,3.03,5.14,5.050999999999999,5.02
2026-02-27 11:55:59.625,5.04,3.03,5.14,5.0512,5.02
2026-02-27 11:55:59.725,4.99,3.03,5.14,5.0511,5.02
2026-02-27 11:55:59.852,5.0,3.03,5.14,5.0505,5.01
2026-02-27 11:55:59.934,5.08,3.03,5.14,5.0508999999999995,5.029999999999999
2026-02-27 11:56:00.043,5.02,3.03,5.14,5.0508999999999995,5.029999999999999
2026-02-27 11:56:00.157,5.04,3.03,5.14,5.0508999999999995,5.04
2026-02-27 11:56:00.252,4.99,3.03,5.14,5.0502,5.029999999999999
2026-02-27 11:56:00.356,5.02,3.03,5.14,5.0504,5.029999999999999
2026-02-27 11:56:00.466,5.04,3.03,5.14,5.05,5.029999999999999
2026-02-27 11:56:00.570,5.1,3.03,5.14,5.0508,5.029999999999999
2026-02-27 11:56:00.680,5.08,3.03,5.14,5.0508,5.029999999999999
2026-02-27 11:56:00.776,5.06,3.03,5.14,5.0506,5.04
