Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:56:55.892,9.02,5.08,9.34,9.009333333333334,9.085
2026-02-27 11:56:55.996,9.08,5.08,9.34,9.010263157894736,9.085
2026-02-27 11:56:56.096,9.09,5.08,9.34,9.011298701298701,9.09
2026-02-27 11:56:56.201,9.09,5.08,9.34,9.012307692307692,9.09
2026-02-27 11:56:56.321,9.04,5.08,9.34,9.012658227848101,9.085
2026-02-27 11:56:56.428,9.08,5.08,9.34,9.0135,9.08
2026-02-27 11:56:56.519,9.0,5.08,9.34,9.013333333333334,9.08
2026-02-27 11:56:56.626,9.09,5.08,9.34,9.014268292682926,9.08
2026-02-27 11:56:56.726,9.08,5.08,9.34,9.015060240963855,9.08
2026-02-27 11:56:56.827,9.08,5.08,9.34,9.015833333333333,9.08
2026-02-27 11:56:56.927,9.09,5.08,9.34,9.016705882352941,9.08
2026-02-27 11:56:57.037,9.08,5.08,9.34,9.017441860465116,9.08
2026-02-27 11:56:57.142,9.06,5.08,9.34,9.017931034482759,9.08
2026-02-27 11:56:57.250,9.08,5.08,9.34,9.018636363636363,9.08
2026-02-27 11:56:57.341,9.02,5.08,9.34,9.018651685393259,9.08
2026-02-27 11:56:57.451,9.04,5.08,9.34,9.01888888888889,9.08
2026-02-27 11:56:57.557,9.04,5.08,9.34,9.019120879120878,9.08
2026-02-27 11:56:57.656,9.02,5.08,9.34,9.019130434782609,9.07
2026-02-27 11:56:57.766,9.04,5.08,9.34,9.019354838709678,9.05
2026-02-27 11:56:57.871,9.11,5.08,9.34,9.02031914893617,9.05
2026-02-27 11:56:57.972,9.09,5.08,9.34,9.021052631578947,9.05
2026-02-27 11:56:58.085,9.06,5.08,9.34,9.021458333333333,9.05
2026-02-27 11:56:58.186,9.06,5.08,9.34,9.021855670103093,9.05
2026-02-27 11:56:58.287,9.06,5.08,9.34,9.022244897959183,9.05
2026-02-27 11:56:58.389,9.06,5.08,9.34,9.022626262626263,9.06
2026-02-27 11:56:58.495,9.08,5.08,9.34,9.023200000000001,9.06
2026-02-27 11:56:58.605,9.09,5.08,9.34,9.0633,9.06
2026-02-27 11:56:58.695,9.11,5.08,9.34,9.1034,9.07
2026-02-27 11:56:58.807,9.17,5.08,9.34,9.1051,9.085
2026-02-27 11:56:58.921,9.13,5.08,9.34,9.107000000000001,9.085
2026-02-27 11:56:59.024,9.13,5.08,9.34,9.1072,9.085
2026-02-27 11:56:59.125,9.11,5.08,9.34,9.107000000000001,9.1
2026-02-27 11:56:59.231,9.13,5.08,9.34,9.1074,9.11
2026-02-27 11:56:59.339,9.08,5.08,9.34,9.1073,9.11
2026-02-27 11:56:59.445,9.13,5.08,9.34,9.1071,9.120000000000001
2026-02-27 11:56:59.544,9.06,5.08,9.34,9.1064,9.120000000000001
2026-02-27 11:56:59.651,9.11,5.08,9.34,9.105599999999999,9.120000000000001
2026-02-27 11:56:59.752,9.11,5.08,9.34,9.1052,9.120000000000001
2026-02-27 11:56:59.864,9.11,5.08,9.34,9.1052,9.11
2026-02-27 11:56:59.958,9.17,5.08,9.34,9.105599999999999,9.11
2026-02-27 11:57:00.060,9.28,5.08,9.34,9.107999999999999,9.11
2026-02-27 11:57:00.167,9.17,5.08,9.34,9.1091,9.120000000000001
2026-02-27 11:57:00.265,9.26,5.08,9.34,9.1106,9.120000000000001
2026-02-27 11:57:00.376,9.08,5.08,9.34,9.1106,9.120000000000001
2026-02-27 11:57:00.482,9.17,5.08,9.34,9.1106,9.14
2026-02-27 11:57:00.588,9.13,5.08,9.34,9.110199999999999,9.15
2026-02-27 11:57:00.695,9.08,5.08,9.34,9.1095,9.15
2026-02-27 11:57:00.792,9.08,5.08,9.34,9.109399999999999,9.15
2026-02-27 11:57:00.903,9.15,5.08,9.34,9.1083,9.16
2026-02-27 11:57:00.999,9.09,5.08,9.34,9.107899999999999,9.14
2026-02-27 11:57:01.113,9.19,5.08,9.34,9.109,9.14
2026-02-27 11:57:01.215,9.11,5.08,9.34,9.109,9.120000000000001
2026-02-27 11:57:01.311,9.13,5.08,9.34,9.1099,9.120000000000001
2026-02-27 11:57:01.427,9.09,5.08,9.34,9.1097,9.120000000000001
2026-02-27 11:57:01.528,9.11,5.08,9.34,9.1104,9.11
2026-02-27 11:57:01.629,9.13,5.08,9.34,9.1104,9.11
2026-02-27 11:57:01.739,9.04,5.08,9.34,9.1093,9.11
2026-02-27 11:57:01.834,9.15,5.08,9.34,9.1097,9.120000000000001
2026-02-27 11:57:01.937,9.06,5.08,9.34,9.1092,9.11
2026-02-27 11:57:02.047,9.06,5.08,9.34,9.109,9.11
2026-02-27 11:57:02.156,9.04,5.08,9.34,9.109,9.1
2026-02-27 11:57:02.267,9.04,5.08,9.34,9.108600000000001,9.075
2026-02-27 11:57:02.359,9.02,5.08,9.34,9.107999999999999,9.06
2026-02-27 11:57:02.468,9.04,5.08,9.34,9.1071,9.05
2026-02-27 11:57:02.565,9.04,5.08,9.34,9.1067,9.04
2026-02-27 11:57:02.668,9.17,5.08,9.34,9.1082,9.04
2026-02-27 11:57:02.769,9.11,5.08,9.34,9.1059,9.05
2026-02-27 11:57:02.888,9.17,5.08,9.34,9.1063,9.05
2026-02-27 11:57:02.981,9.19,5.08,9.34,9.1073,9.05
2026-02-27 11:57:03.084,9.15,5.08,9.34,9.1069,9.075
2026-02-27 11:57:03.194,9.09,5.08,9.34,9.1072,9.1
2026-02-27 11:57:03.297,9.11,5.08,9.34,9.107000000000001,9.11
2026-02-27 11:57:03.405,9.13,5.08,9.34,9.1072,9.120000000000001
2026-02-27 11:57:03.511,9.17,5.08,9.34,9.1076,9.14
2026-02-27 11:57:03.613,9.17,5.08,9.34,9.107999999999999,9.16
2026-02-27 11:57:03.721,9.11,5.08,9.34,9.107999999999999,9.14
2026-02-27 11:57:03.829,9.13,5.08,9.34,9.1078,9.14
2026-02-27 11:57:03.921,9.17,5.08,9.34,9.1078,9.14
2026-02-27 11:57:04.029,9.13,5.08,9.34,9.107999999999999,9.13
2026-02-27 11:57:04.145,9.13,5.08,9.34,9.1076,9.13
2026-02-27 11:57:04.242,9.17,5.08,9.34,9.1078,9.13
2026-02-27 11:57:04.339,9.11,5.08,9.34,9.107000000000001,9.13
2026-02-27 11:57:04.458,9.13,5.08,9.34,9.1064,9.13
2026-02-27 11:57:04.547,9.15,5.08,9.34,9.106,9.13
2026-02-27 11:57:04.662,9.08,5.08,9.34,9.104700000000001,9.13
