Timestamp,Distance (m),Min (m),Max (m),Moyenne (m),Médiane (m)
2026-02-27 11:53:13.338,0.93,0.22,1.35,0.9677,0.93
2026-02-27 11:53:13.414,0.93,0.22,1.35,0.9675,0.93
2026-02-27 11:53:13.535,0.93,0.22,1.35,0.9677,0.93
2026-02-27 11:53:13.635,0.95,0.22,1.35,0.9679000000000001,0.93
2026-02-27 11:53:13.738,0.9,0.22,1.35,0.9672,0.93
2026-02-27 11:53:13.844,0.91,0.22,1.35,0.9670000000000001,0.93
2026-02-27 11:53:13.960,0.9,0.22,1.35,0.9662999999999999,0.93
2026-02-27 11:53:14.056,0.97,0.22,1.35,0.9667,0.93
2026-02-27 11:53:14.165,0.93,0.22,1.35,0.9667,0.93
2026-02-27 11:53:14.268,0.9,0.22,1.35,0.966,0.93
2026-02-27 11:53:14.383,0.93,0.22,1.35,0.9656,0.93
2026-02-27 11:53:14.491,0.93,0.22,1.35,0.9656,0.93
2026-02-27 11:53:14.575,0.95,0.22,1.35,0.9652,0.93
2026-02-27 11:53:14.692,0.93,0.22,1.35,0.9648,0.93
2026-02-27 11:53:14.796,0.91,0.22,1.35,0.9645999999999999,0.93
2026-02-27 11:53:14.904,0.91,0.22,1.35,0.9651000000000001,0.93
2026-02-27 11:53:15.004,0.97,0.22,1.35,0.9657000000000001,0.93
2026-02-27 11:53:15.085,0.99,0.22,1.35,0.9662999999999999,0.93
2026-02-27 11:53:15.193,0.86,0.22,1.35,0.9648,0.93
2026-02-27 11:53:15.311,0.88,0.22,1.35,0.9632999999999999,0.93
2026-02-27 11:53:15.414,0.93,0.22,1.35,0.9629000000000001,0.93
2026-02-27 11:53:15.504,0.93,0.22,1.35,0.9627,0.93
2026-02-27 11:53:15.618,0.95,0.22,1.35,0.9625,0.93
2026-02-27 11:53:15.735,0.93,0.22,1.35,0.9623,0.93
2026-02-27 11:53:15.836,0.91,0.22,1.35,0.9617,0.93
2026-02-27 11:53:15.942,0.91,0.22,1.35,0.9611,0.93
2026-02-27 11:53:16.037,0.91,0.22,1.35,0.9607000000000001,0.92
2026-02-27 11:53:16.147,0.93,0.22,1.35,0.9603,0.92
2026-02-27 11:53:16.250,0.93,0.22,1.35,0.9597,0.93
2026-02-27 11:53:16.356,0.9,0.22,1.35,0.9588,0.93
2026-02-27 11:53:16.464,0.97,0.22,1.35,0.9588,0.93
2026-02-27 11:53:16.558,0.97,0.22,1.35,0.9586,0.93
2026-02-27 11:53:16.664,0.99,0.22,1.35,0.9588,0.93
2026-02-27 11:53:16.770,0.95,0.22,1.35,0.958,0.93
2026-02-27 11:53:16.879,0.99,0.22,1.35,0.958,0.94
2026-02-27 11:53:16.991,1.01,0.22,1.35,0.9582,0.96
2026-02-27 11:53:17.087,0.99,0.22,1.35,0.9584,0.97
2026-02-27 11:53:17.195,0.97,0.22,1.35,0.9578,0.97
2026-02-27 11:53:17.300,0.95,0.22,1.35,0.9573999999999999,0.97
2026-02-27 11:53:17.390,0.95,0.22,1.35,0.9573999999999999,0.97
2026-02-27 11:53:17.502,0.99,0.22,1.35,0.9578,0.98
2026-02-27 11:53:17.604,1.01,0.22,1.35,0.9582,0.99
2026-02-27 11:53:17.712,0.99,0.22,1.35,0.9582,0.99
2026-02-27 11:53:17.814,0.95,0.22,1.35,0.9576,0.99
2026-02-27 11:53:17.916,1.01,0.22,1.35,0.958,0.99
2026-02-27 11:53:18.016,0.95,0.22,1.35,0.9571999999999999,0.98
2026-02-27 11:53:18.120,0.97,0.22,1.35,0.9568000000000001,0.97
2026-02-27 11:53:18.230,1.03,0.22,1.35,0.9570000000000001,0.98
2026-02-27 11:53:18.338,0.95,0.22,1.35,0.9571999999999999,0.98
2026-02-27 11:53:18.453,0.95,0.22,1.35,0.9566,0.98
2026-02-27 11:53:18.547,0.97,0.22,1.35,0.9558,0.97
2026-02-27 11:53:18.663,0.99,0.22,1.35,0.956,0.97
2026-02-27 11:53:18.755,0.97,0.22,1.35,0.9554,0.97
2026-02-27 11:53:18.860,0.93,0.22,1.35,0.9551999999999999,0.97
2026-02-27 11:53:18.971,0.95,0.22,1.35,0.9548000000000001,0.96
2026-02-27 11:53:19.072,0.97,0.22,1.35,0.955,0.97
2026-02-27 11:53:19.168,0.95,0.22,1.35,0.9548000000000001,0.96
2026-02-27 11:53:19.276,0.97,0.22,1.35,0.9548000000000001,0.96
2026-02-27 11:53:19.372,0.99,0.22,1.35,0.955,0.97
2026-02-27 11:53:19.487,0.97,0.22,1.35,0.9548000000000001,0.97
2026-02-27 11:53:19.589,0.93,0.22,1.35,0.9538,0.97
2026-02-27 11:53:19.699,0.95,0.22,1.35,0.9536,0.96
2026-02-27 11:53:19.800,0.99,0.22,1.35,0.9534,0.96
2026-02-27 11:53:19.907,0.99,0.22,1.35,0.953,0.97
2026-02-27 11:53:20.008,0.97,0.22,1.35,0.9521,0.97
2026-02-27 11:53:20.114,0.95,0.22,1.35,0.9517,0.97
2026-02-27 11:53:20.221,0.99,0.22,1.35,0.9512999999999999,0.97
2026-02-27 11:53:20.324,0.95,0.22,1.35,0.9509000000000001,0.97
2026-02-27 11:53:20.424,0.95,0.22,1.35,0.9503,0.96
2026-02-27 11:53:20.520,1.03,0.22,1.35,0.9509000000000001,0.96
2026-02-27 11:53:20.639,0.99,0.22,1.35,0.9503,0.98
2026-02-27 11:53:20.735,1.01,0.22,1.35,0.9505,0.99
2026-02-27 11:53:20.842,0.97,0.22,1.35,0.9501000000000001,0.98
2026-02-27 11:53:20.933,0.97,0.22,1.35,0.9495,0.97
2026-02-27 11:53:21.051,0.99,0.22,1.35,0.9489,0.98
2026-02-27 11:53:21.168,0.95,0.22,1.35,0.9484999999999999,0.98
2026-02-27 11:53:21.249,0.97,0.22,1.35,0.9489,0.97
2026-02-27 11:53:21.358,0.97,0.22,1.35,0.9493,0.97
2026-02-27 11:53:21.474,0.99,0.22,1.35,0.9504,0.98
2026-02-27 11:53:21.565,0.99,0.22,1.35,0.951,0.98
2026-02-27 11:53:21.680,0.97,0.22,1.35,0.9516,0.97
2026-02-27 11:53:21.774,0.97,0.22,1.35,0.9521999999999999,0.97
2026-02-27 11:53:21.890,0.95,0.22,1.35,0.9526,0.97
2026-02-27 11:53:21.994,0.99,0.22,1.35,0.9531999999999999,0.97
2026-02-27 11:53:22.099,0.99,0.22,1.35,0.9538,0.97
2026-02-27 11:53:22.189,0.95,0.22,1.35,0.9542,0.97
2026-02-27 11:53:22.306,0.95,0.22,1.35,0.9542,0.97
2026-02-27 11:53:22.412,1.03,0.22,1.35,0.9548000000000001,0.98
2026-02-27 11:53:22.516,0.95,0.22,1.35,0.955,0.97
2026-02-27 11:53:22.616,0.95,0.22,1.35,0.9545999999999999,0.96
2026-02-27 11:53:22.717,0.95,0.22,1.35,0.9548000000000001,0.95
2026-02-27 11:53:22.831,1.01,0.22,1.35,0.9554,0.95
